Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,1.0,1.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:13.275000,0 days 00:01:14.535594202,2
HAM,Mercedes,2.0,2.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:11.097000,0 days 00:01:14.384843750,3
BOT,Mercedes,3.0,3.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:12.549000,0 days 00:01:15.090328358,2
GAS,AlphaTauri,4.0,4.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:14.818000,0 days 00:01:15.975753623,1
LEC,Ferrari,5.0,5.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:14.780000,0 days 00:01:15.940367647,1
ALO,Alpine,9.0,6.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:14.323000,0 days 00:01:16.356985294,1
SAI,Ferrari,6.0,7.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.260000,0 days 00:01:16.362514705,1
PER,Red Bull Racing,0.0,8.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:13.461000,0 days 00:01:15.798015625,2
OCO,Alpine,8.0,9.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:14.675000,0 days 00:01:16.428176470,1
NOR,McLaren,13.0,10.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:14.236000,0 days 00:01:16.306363636,1
RIC,McLaren,10.0,11.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:14.920000,0 days 00:01:16.646463768,1
STR,Aston Martin,12.0,12.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.611000,0 days 00:01:17.073176470,1
VET,Aston Martin,15.0,13.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:13.958000,0 days 00:01:16.511806451,2
GIO,Alfa Romeo Racing,7.0,14.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.125000,0 days 00:01:16.855476923,2
KUB,Alfa Romeo Racing,16.0,15.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.442000,0 days 00:01:17.525681818,1
LAT,Williams,0.0,16.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.790000,0 days 00:01:17.574294117,1
RUS,Williams,11.0,17.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.628000,0 days 00:01:17.023307692,2
MSC,Haas F1 Team,17.0,18.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.927000,0 days 00:01:17.689950,2
TSU,AlphaTauri,14.0,19.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:15.783000,0 days 00:01:17.427488888,1
MAZ,Haas F1 Team,18.0,20.0,Dutch Grand Prix,Netherlands,2021,0 days 00:01:16.066000,0 days 00:01:18.494230769,1
