Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,9.0,1.0,Miami Grand Prix,United States,2023,0 days 00:01:29.708000,0 days 00:01:31.825345454,1
PER,Red Bull Racing,1.0,2.0,Miami Grand Prix,United States,2023,0 days 00:01:30.560000,0 days 00:01:31.980654545,1
ALO,Aston Martin,2.0,3.0,Miami Grand Prix,United States,2023,0 days 00:01:30.519000,0 days 00:01:32.277129629,1
RUS,Mercedes,6.0,4.0,Miami Grand Prix,United States,2023,0 days 00:01:31.015000,0 days 00:01:32.342666666,1
SAI,Ferrari,3.0,5.0,Miami Grand Prix,United States,2023,0 days 00:01:31.362000,0 days 00:01:32.566181818,1
HAM,Mercedes,13.0,6.0,Miami Grand Prix,United States,2023,0 days 00:01:30.669000,0 days 00:01:32.633685185,1
LEC,Ferrari,7.0,7.0,Miami Grand Prix,United States,2023,0 days 00:01:31.434000,0 days 00:01:32.774509090,1
GAS,Alpine,5.0,8.0,Miami Grand Prix,United States,2023,0 days 00:01:31.971000,0 days 00:01:32.856327272,1
OCO,Alpine,8.0,9.0,Miami Grand Prix,United States,2023,0 days 00:01:31.143000,0 days 00:01:32.880909090,1
MAG,Haas F1 Team,4.0,10.0,Miami Grand Prix,United States,2023,0 days 00:01:31.691000,0 days 00:01:32.856203703,1
TSU,AlphaTauri,17.0,11.0,Miami Grand Prix,United States,2023,0 days 00:01:31.038000,0 days 00:01:32.914527272,1
STR,Aston Martin,18.0,12.0,Miami Grand Prix,United States,2023,0 days 00:01:30.862000,0 days 00:01:32.832981481,1
BOT,Alfa Romeo,10.0,13.0,Miami Grand Prix,United States,2023,0 days 00:01:31.838000,0 days 00:01:32.971444444,1
ALB,Williams,11.0,14.0,Miami Grand Prix,United States,2023,0 days 00:01:31.852000,0 days 00:01:32.979777777,1
HUL,Haas F1 Team,12.0,15.0,Miami Grand Prix,United States,2023,0 days 00:01:30.901000,0 days 00:01:32.999425925,1
ZHO,Alfa Romeo,14.0,16.0,Miami Grand Prix,United States,2023,0 days 00:01:31.736000,0 days 00:01:33.143236363,1
NOR,McLaren,16.0,17.0,Miami Grand Prix,United States,2023,0 days 00:01:32.401000,0 days 00:01:33.231400,1
DEV,AlphaTauri,15.0,18.0,Miami Grand Prix,United States,2023,0 days 00:01:31.562000,0 days 00:01:33.149481481,1
PIA,McLaren,19.0,19.0,Miami Grand Prix,United States,2023,0 days 00:01:32.006000,0 days 00:01:33.717113207,1
SAR,Williams,20.0,20.0,Miami Grand Prix,United States,2023,0 days 00:01:32.384000,0 days 00:01:33.378679245,1
