Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
RUS,Mercedes,1.0,1.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:13.785000,0 days 00:01:15.676574074,2
HAM,Mercedes,2.0,2.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:13.942000,0 days 00:01:15.718641509,2
SAI,Ferrari,7.0,3.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:13.953000,0 days 00:01:15.753962962,3
LEC,Ferrari,5.0,4.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:14.253000,0 days 00:01:15.913137254,3
ALO,Alpine,17.0,5.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:14.164000,0 days 00:01:16.233557692,3
VER,Red Bull Racing,3.0,6.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:14.195000,0 days 00:01:15.991803921,3
PER,Red Bull Racing,4.0,7.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:14.283000,0 days 00:01:16.112314814,2
OCO,Alpine,16.0,8.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.093000,0 days 00:01:16.701115384,2
BOT,Alfa Romeo,14.0,9.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.511000,0 days 00:01:16.817452830,2
STR,Aston Martin,15.0,10.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:14.831000,0 days 00:01:17.086692307,2
VET,Aston Martin,9.0,11.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.549000,0 days 00:01:16.917773584,2
ZHO,Alfa Romeo,13.0,12.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.802000,0 days 00:01:17.184471698,2
MSC,Haas F1 Team,12.0,13.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.251000,0 days 00:01:17.188716981,2
GAS,AlphaTauri,10.0,14.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.327000,0 days 00:01:17.011037735,3
ALB,Williams,19.0,15.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.613000,0 days 00:01:17.523886792,3
LAT,Williams,18.0,16.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.327000,0 days 00:01:17.511907407,3
TSU,AlphaTauri,0.0,17.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.508000,0 days 00:01:17.274686274,3
NOR,McLaren,6.0,18.0,São Paulo Grand Prix,Brazil,2022,0 days 00:01:15.855000,0 days 00:01:17.380439024,2
MAG,Haas F1 Team,8.0,19.0,São Paulo Grand Prix,Brazil,2022,,,0
RIC,McLaren,11.0,20.0,São Paulo Grand Prix,Brazil,2022,,,0
