Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,1.0,1.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:41.357000,0 days 00:01:43.699775510,1
VET,Ferrari,3.0,2.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:40.867000,0 days 00:01:43.487125,1
VER,Red Bull Racing,6.0,3.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:41.909000,0 days 00:01:43.721229166,1
RIC,Red Bull Racing,5.0,4.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:41.249000,0 days 00:01:43.805000,1
BOT,Mercedes,2.0,5.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:40.953000,0 days 00:01:44.111063829,2
SAI,Renault,11.0,6.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:41.351000,0 days 00:01:44.862625,1
LEC,Sauber,8.0,7.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:42.876000,0 days 00:01:45.449693877,1
PER,Racing Point,14.0,8.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:42.816000,0 days 00:01:45.248520833,1
GRO,Haas F1 Team,7.0,9.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:43.195000,0 days 00:01:46.204458333,1
MAG,Haas F1 Team,13.0,10.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:42.822000,0 days 00:01:46.056191489,1
ALO,McLaren,15.0,11.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:42.393000,0 days 00:01:46.106978723,1
HAR,Toro Rosso,16.0,12.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:44.174000,0 days 00:01:46.832625,1
STR,Williams,20.0,13.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:44.033000,0 days 00:01:46.553021276,1
VAN,McLaren,18.0,14.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:43.249000,0 days 00:01:46.518723404,1
SIR,Williams,19.0,15.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:43.831000,0 days 00:01:46.812787234,1
GAS,Toro Rosso,17.0,16.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:43.988000,0 days 00:01:46.310615384,1
OCO,Racing Point,9.0,17.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:43.591000,0 days 00:01:46.135729729,1
ERI,Sauber,12.0,18.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:46.077000,0 days 00:01:47.282944444,0
RAI,Ferrari,4.0,19.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,0 days 00:01:45.198000,0 days 00:01:45.198000,0
HUL,Renault,10.0,20.0,Abu Dhabi Grand Prix,United Arab Emirates,2018,,,0
