Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
BOT,Mercedes,1.0,1.0,Austrian Grand Prix,Austria,2020,0 days 00:01:07.657000,0 days 00:01:08.851634615,2
LEC,Ferrari,7.0,2.0,Austrian Grand Prix,Austria,2020,0 days 00:01:07.901000,0 days 00:01:09.497360,3
NOR,McLaren,3.0,3.0,Austrian Grand Prix,Austria,2020,0 days 00:01:07.475000,0 days 00:01:09.444060,3
HAM,Mercedes,5.0,4.0,Austrian Grand Prix,Austria,2020,0 days 00:01:07.712000,0 days 00:01:08.789760,2
SAI,McLaren,8.0,5.0,Austrian Grand Prix,Austria,2020,0 days 00:01:07.974000,0 days 00:01:09.676180,3
PER,Racing Point,6.0,6.0,Austrian Grand Prix,Austria,2020,0 days 00:01:08.305000,0 days 00:01:09.473900,2
GAS,AlphaTauri,12.0,7.0,Austrian Grand Prix,Austria,2020,0 days 00:01:09.025000,0 days 00:01:10.229620,2
OCO,Renault,14.0,8.0,Austrian Grand Prix,Austria,2020,0 days 00:01:08.912000,0 days 00:01:10.379000,2
GIO,Alfa Romeo Racing,18.0,9.0,Austrian Grand Prix,Austria,2020,0 days 00:01:08.796000,0 days 00:01:10.580460,3
VET,Ferrari,11.0,10.0,Austrian Grand Prix,Austria,2020,0 days 00:01:08.623000,0 days 00:01:10.296816326,3
LAT,Williams,20.0,11.0,Austrian Grand Prix,Austria,2020,0 days 00:01:09.662000,0 days 00:01:11.201800,3
KVY,AlphaTauri,13.0,12.0,Austrian Grand Prix,Austria,2020,0 days 00:01:09.135000,0 days 00:01:10.539270833,3
ALB,Red Bull Racing,4.0,13.0,Austrian Grand Prix,Austria,2020,0 days 00:01:08.432000,0 days 00:01:09.484244444,3
RAI,Alfa Romeo Racing,19.0,14.0,Austrian Grand Prix,Austria,2020,0 days 00:01:09.031000,0 days 00:01:10.693567567,2
RUS,Williams,17.0,15.0,Austrian Grand Prix,Austria,2020,0 days 00:01:09.317000,0 days 00:01:10.969432432,1
GRO,Haas F1 Team,15.0,16.0,Austrian Grand Prix,Austria,2020,0 days 00:01:10.228000,0 days 00:01:11.304111111,1
MAG,Haas F1 Team,16.0,17.0,Austrian Grand Prix,Austria,2020,0 days 00:01:10.720000,0 days 00:01:11.430222222,0
STR,Racing Point,9.0,18.0,Austrian Grand Prix,Austria,2020,0 days 00:01:10.326000,0 days 00:01:11.072250,0
RIC,Renault,10.0,19.0,Austrian Grand Prix,Austria,2020,0 days 00:01:10.610000,0 days 00:01:10.946800,0
VER,Red Bull Racing,2.0,20.0,Austrian Grand Prix,Austria,2020,0 days 00:01:09.351000,0 days 00:01:09.951333333,0
