Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,1.0,1.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:18.750000,0 days 00:01:20.992758064,1
BOT,Mercedes,2.0,2.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:19.345000,0 days 00:01:21.446809523,1
VER,Red Bull Racing,3.0,3.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:19.854000,0 days 00:01:21.528854838,1
LEC,Ferrari,4.0,4.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.408000,0 days 00:01:22.016396825,1
GAS,AlphaTauri,9.0,5.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.551000,0 days 00:01:22.473426229,1
SAI,McLaren,7.0,6.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.268000,0 days 00:01:22.649306451,1
PER,Racing Point,5.0,7.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.802000,0 days 00:01:22.253741935,2
OCO,Renault,11.0,8.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.859000,0 days 00:01:22.527967213,1
RIC,Renault,10.0,9.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.906000,0 days 00:01:22.596491803,1
VET,Ferrari,15.0,10.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.731000,0 days 00:01:22.432716666,1
RAI,Alfa Romeo Racing,16.0,11.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:21.058000,0 days 00:01:22.677065573,1
ALB,Red Bull Racing,6.0,12.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:19.890000,0 days 00:01:22.271172413,2
NOR,McLaren,8.0,13.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:19.360000,0 days 00:01:22.419603448,2
RUS,Williams,14.0,14.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.882000,0 days 00:01:22.988229508,1
GIO,Alfa Romeo Racing,17.0,15.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:21.893000,0 days 00:01:23.339000,1
MAG,Haas F1 Team,19.0,16.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:21.460000,0 days 00:01:23.218133333,1
GRO,Haas F1 Team,18.0,17.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:21.664000,0 days 00:01:23.280016393,1
LAT,Williams,20.0,18.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:21.859000,0 days 00:01:23.544633333,1
KVY,AlphaTauri,13.0,19.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:20.449000,0 days 00:01:23.046803571,2
STR,Racing Point,12.0,20.0,Portuguese Grand Prix,Portugal,2020,0 days 00:01:21.694000,0 days 00:01:23.326434782,2
