Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
PER,Racing Point,5.0,1.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:56.789000,0 days 00:00:58.020142857,2
OCO,Renault,11.0,2.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.350000,0 days 00:00:58.294042253,1
STR,Racing Point,10.0,3.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.388000,0 days 00:00:58.268928571,1
SAI,McLaren,8.0,4.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.165000,0 days 00:00:58.150985507,2
RIC,Renault,7.0,5.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:56.979000,0 days 00:00:58.195942028,2
ALB,Red Bull Racing,12.0,6.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.056000,0 days 00:00:58.367085714,2
KVY,AlphaTauri,6.0,7.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.001000,0 days 00:00:58.229782608,2
BOT,Mercedes,1.0,8.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:56.563000,0 days 00:00:57.944471428,2
RUS,Mercedes,2.0,9.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:55.404000,0 days 00:00:57.618376811,4
NOR,McLaren,19.0,10.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.270000,0 days 00:00:58.496101449,2
GAS,AlphaTauri,9.0,11.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.220000,0 days 00:00:58.349338235,2
VET,Ferrari,13.0,12.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:56.905000,0 days 00:00:58.549761194,3
GIO,Alfa Romeo Racing,14.0,13.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:56.887000,0 days 00:00:58.695279411,2
RAI,Alfa Romeo Racing,18.0,14.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.375000,0 days 00:00:58.841666666,3
MAG,Haas F1 Team,15.0,15.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.516000,0 days 00:00:58.964308823,2
AIT,Williams,17.0,16.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.392000,0 days 00:00:58.955057971,3
FIT,Haas F1 Team,20.0,17.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:57.742000,0 days 00:00:59.326298507,3
LAT,Williams,16.0,18.0,Sakhir Grand Prix,Bahrain,2020,0 days 00:00:58.206000,0 days 00:00:59.269777777,1
VER,Red Bull Racing,3.0,19.0,Sakhir Grand Prix,Bahrain,2020,,,0
LEC,Ferrari,4.0,20.0,Sakhir Grand Prix,Bahrain,2020,,,0
