Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
PER,Red Bull Racing,3.0,1.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:16.028000,0 days 00:01:17.826096774,2
SAI,Ferrari,2.0,2.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:16.421000,0 days 00:01:17.831483870,1
VER,Red Bull Racing,4.0,3.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:16.052000,0 days 00:01:17.821838709,2
LEC,Ferrari,1.0,4.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:16.249000,0 days 00:01:17.709300,2
RUS,Mercedes,6.0,5.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:16.830000,0 days 00:01:18.156875,1
NOR,McLaren,5.0,6.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:14.693000,0 days 00:01:16.928296296,3
ALO,Alpine,7.0,7.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:15.882000,0 days 00:01:18.510346153,1
HAM,Mercedes,8.0,8.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.203000,0 days 00:01:19.067833333,2
BOT,Alfa Romeo,12.0,9.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.600000,0 days 00:01:19.189516129,1
VET,Aston Martin,9.0,10.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.558000,0 days 00:01:19.194645161,2
GAS,AlphaTauri,17.0,11.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.344000,0 days 00:01:19.170709677,2
OCO,Alpine,10.0,12.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.571000,0 days 00:01:19.162903225,1
RIC,McLaren,14.0,13.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.532000,0 days 00:01:19.260806451,1
STR,Aston Martin,18.0,14.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:17.672000,0 days 00:01:19.351000,3
LAT,Williams,19.0,15.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:18.579000,0 days 00:01:19.912166666,2
ZHO,Alfa Romeo,20.0,16.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:18.200000,0 days 00:01:20.264322580,1
TSU,AlphaTauri,11.0,17.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:15.334000,0 days 00:01:18.723571428,3
ALB,Williams,16.0,18.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:18.023000,0 days 00:01:19.106125,2
MSC,Haas F1 Team,15.0,19.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:24.778000,0 days 00:01:27.967250,1
MAG,Haas F1 Team,13.0,20.0,Monaco Grand Prix,Monaco,2022,0 days 00:01:33.754000,0 days 00:01:37.041000,0
