Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VET,Ferrari,3.0,1.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:44.802000,0 days 00:01:47.467583333,1
LEC,Ferrari,1.0,2.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:44.723000,0 days 00:01:47.590625,1
VER,Red Bull Racing,4.0,3.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.176000,0 days 00:01:47.700833333,1
HAM,Mercedes,2.0,4.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:44.914000,0 days 00:01:47.918770833,1
BOT,Mercedes,5.0,5.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:43.534000,0 days 00:01:48.044957446,1
ALB,Red Bull Racing,6.0,6.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.260000,0 days 00:01:48.165234042,1
NOR,McLaren,9.0,7.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.716000,0 days 00:01:48.261489361,1
GAS,Toro Rosso,11.0,8.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.769000,0 days 00:01:48.484319148,1
HUL,Renault,8.0,9.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.765000,0 days 00:01:48.387604166,2
GIO,Alfa Romeo Racing,10.0,10.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.630000,0 days 00:01:48.694891304,2
GRO,Haas F1 Team,17.0,11.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:46.274000,0 days 00:01:49.416043478,2
SAI,McLaren,7.0,12.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.969000,0 days 00:01:49.075250,2
STR,Racing Point,16.0,13.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:44.896000,0 days 00:01:48.674186046,3
RIC,Renault,20.0,14.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:45.915000,0 days 00:01:48.922477272,1
KVY,Toro Rosso,14.0,15.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:44.371000,0 days 00:01:48.323250,2
KUB,Williams,19.0,16.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:46.793000,0 days 00:01:50.118977777,2
MAG,Haas F1 Team,13.0,17.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:42.301000,0 days 00:01:48.039592592,2
RAI,Alfa Romeo Racing,12.0,18.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:47.062000,0 days 00:01:49.010945945,1
PER,Racing Point,15.0,19.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:46.683000,0 days 00:01:49.109794117,1
RUS,Williams,18.0,20.0,Singapore Grand Prix,Singapore,2019,0 days 00:01:48.285000,0 days 00:01:49.165843750,1
