Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,3.0,1.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:21.644000,0 days 00:01:22.819569230,3
HAM,Mercedes,6.0,2.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:21.334000,0 days 00:01:23.210703125,2
LEC,Ferrari,1.0,3.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.332000,0 days 00:01:23.408200,2
SAI,Ferrari,2.0,4.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.539000,0 days 00:01:23.569200,2
NOR,McLaren,17.0,5.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:21.944000,0 days 00:01:23.527390625,3
RUS,Mercedes,8.0,6.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.780000,0 days 00:01:23.752781250,2
RIC,AlphaTauri,4.0,7.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.679000,0 days 00:01:23.748343750,2
PIA,McLaren,7.0,8.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.760000,0 days 00:01:23.740750,2
ALB,Williams,14.0,9.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.773000,0 days 00:01:24.220400,2
OCO,Alpine,15.0,10.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.976000,0 days 00:01:24.631609375,1
GAS,Alpine,11.0,11.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.230000,0 days 00:01:24.354515625,2
TSU,AlphaTauri,18.0,12.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:22.501000,0 days 00:01:24.010741935,2
HUL,Haas F1 Team,12.0,13.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.222000,0 days 00:01:24.565921875,2
ZHO,Alfa Romeo,10.0,14.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.567000,0 days 00:01:24.631140625,2
BOT,Alfa Romeo,9.0,15.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.166000,0 days 00:01:24.734703125,2
SAR,Williams,19.0,16.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.003000,0 days 00:01:24.499393442,2
STR,Aston Martin,0.0,17.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.257000,0 days 00:01:24.606392857,2
ALO,Aston Martin,13.0,18.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.531000,0 days 00:01:25.296868421,2
MAG,Haas F1 Team,16.0,19.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:23.146000,0 days 00:01:25.069214285,1
PER,Red Bull Racing,5.0,20.0,Mexico City Grand Prix,Mexico,2023,0 days 00:01:43.446000,0 days 00:01:43.446000,0
