Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
BOT,Mercedes,1.0,1.0,United States Grand Prix,United States,2019,0 days 00:01:36.957000,0 days 00:01:39.947166666,2
HAM,Mercedes,5.0,2.0,United States Grand Prix,United States,2019,0 days 00:01:38.446000,0 days 00:01:40.372963636,1
VER,Red Bull Racing,3.0,3.0,United States Grand Prix,United States,2019,0 days 00:01:38.214000,0 days 00:01:40.064259259,2
LEC,Ferrari,4.0,4.0,United States Grand Prix,United States,2019,0 days 00:01:36.169000,0 days 00:01:40.533058823,2
ALB,Red Bull Racing,6.0,5.0,United States Grand Prix,United States,2019,0 days 00:01:38.029000,0 days 00:01:40.668326923,3
RIC,Renault,9.0,6.0,United States Grand Prix,United States,2019,0 days 00:01:40.564000,0 days 00:01:41.918654545,1
NOR,McLaren,8.0,7.0,United States Grand Prix,United States,2019,0 days 00:01:38.074000,0 days 00:01:41.461584905,2
SAI,McLaren,7.0,8.0,United States Grand Prix,United States,2019,0 days 00:01:40.844000,0 days 00:01:42.173075471,1
HUL,Renault,11.0,9.0,United States Grand Prix,United States,2019,0 days 00:01:38.437000,0 days 00:01:41.804450980,2
PER,Racing Point,0.0,10.0,United States Grand Prix,United States,2019,0 days 00:01:40.165000,0 days 00:01:42.275056603,1
RAI,Alfa Romeo Racing,17.0,11.0,United States Grand Prix,United States,2019,0 days 00:01:39.608000,0 days 00:01:42.021615384,2
KVY,Toro Rosso,13.0,12.0,United States Grand Prix,United States,2019,0 days 00:01:38.969000,0 days 00:01:41.864153846,2
STR,Racing Point,14.0,13.0,United States Grand Prix,United States,2019,0 days 00:01:40.380000,0 days 00:01:42.298403846,2
GIO,Alfa Romeo Racing,16.0,14.0,United States Grand Prix,United States,2019,0 days 00:01:39.964000,0 days 00:01:42.601076923,2
GRO,Haas F1 Team,15.0,15.0,United States Grand Prix,United States,2019,0 days 00:01:41.270000,0 days 00:01:43.220716981,1
GAS,Toro Rosso,10.0,16.0,United States Grand Prix,United States,2019,0 days 00:01:40.850000,0 days 00:01:42.416000,2
RUS,Williams,18.0,17.0,United States Grand Prix,United States,2019,0 days 00:01:41.239000,0 days 00:01:43.833411764,2
MAG,Haas F1 Team,12.0,18.0,United States Grand Prix,United States,2019,0 days 00:01:40.347000,0 days 00:01:42.860346938,2
KUB,Williams,19.0,19.0,United States Grand Prix,United States,2019,0 days 00:01:43.830000,0 days 00:01:45.395724137,1
VET,Ferrari,2.0,20.0,United States Grand Prix,United States,2019,0 days 00:01:42.165000,0 days 00:01:43.304285714,0
