Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,2.0,1.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:15.484000,0 days 00:01:18.358722222,2
BOT,Mercedes,1.0,2.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:15.902000,0 days 00:01:18.900019230,2
RIC,Renault,5.0,3.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:17.552000,0 days 00:01:19.593942307,1
KVY,AlphaTauri,8.0,4.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:17.666000,0 days 00:01:19.535846153,2
LEC,Ferrari,7.0,5.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.173000,0 days 00:01:19.677615384,1
PER,Racing Point,11.0,6.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.084000,0 days 00:01:19.510826923,2
SAI,McLaren,10.0,7.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.118000,0 days 00:01:19.663846153,2
NOR,McLaren,9.0,8.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.069000,0 days 00:01:19.683431372,2
RAI,Alfa Romeo Racing,18.0,9.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.088000,0 days 00:01:20.021490196,1
GIO,Alfa Romeo Racing,20.0,10.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.794000,0 days 00:01:20.238865384,1
LAT,Williams,19.0,11.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.719000,0 days 00:01:20.311924528,1
VET,Ferrari,14.0,12.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:17.767000,0 days 00:01:19.859200,2
STR,Racing Point,15.0,13.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.360000,0 days 00:01:19.796346153,3
GRO,Haas F1 Team,16.0,14.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.822000,0 days 00:01:20.309117647,2
ALB,Red Bull Racing,6.0,15.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:16.177000,0 days 00:01:19.459739130,2
RUS,Williams,13.0,16.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:18.811000,0 days 00:01:20.093222222,1
VER,Red Bull Racing,3.0,17.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:17.637000,0 days 00:01:18.879260869,1
MAG,Haas F1 Team,17.0,18.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:19.273000,0 days 00:01:20.334476190,1
OCO,Renault,12.0,19.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:19.606000,0 days 00:01:20.746958333,1
GAS,AlphaTauri,4.0,20.0,Emilia Romagna Grand Prix,Italy,2020,0 days 00:01:20.403000,0 days 00:01:21.464285714,0
