Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,2.0,1.0,German Grand Prix,Germany,2019,0 days 00:01:16.645000,0 days 00:01:17.877071428,5
VET,Ferrari,20.0,2.0,German Grand Prix,Germany,2019,0 days 00:01:16.794000,0 days 00:01:18.035923076,5
KVY,Toro Rosso,14.0,3.0,German Grand Prix,Germany,2019,0 days 00:01:17.708000,0 days 00:01:19.049266666,4
STR,Racing Point,15.0,4.0,German Grand Prix,Germany,2019,0 days 00:01:17.831000,0 days 00:01:19.420142857,5
SAI,McLaren,7.0,5.0,German Grand Prix,Germany,2019,0 days 00:01:17.841000,0 days 00:01:18.854142857,3
ALB,Toro Rosso,16.0,6.0,German Grand Prix,Germany,2019,0 days 00:01:17.850000,0 days 00:01:18.750857142,4
GRO,Haas F1 Team,6.0,7.0,German Grand Prix,Germany,2019,0 days 00:01:18.811000,0 days 00:01:19.647714285,5
MAG,Haas F1 Team,12.0,8.0,German Grand Prix,Germany,2019,0 days 00:01:19.062000,0 days 00:01:20.741437500,6
HAM,Mercedes,1.0,9.0,German Grand Prix,Germany,2019,0 days 00:01:17.485000,0 days 00:01:18.738416666,6
KUB,Williams,18.0,10.0,German Grand Prix,Germany,2019,0 days 00:01:19.563000,0 days 00:01:20.948928571,5
RUS,Williams,17.0,11.0,German Grand Prix,Germany,2019,0 days 00:01:19.300000,0 days 00:01:20.747461538,5
RAI,Alfa Romeo Racing,5.0,12.0,German Grand Prix,Germany,2019,0 days 00:01:17.746000,0 days 00:01:18.927846153,4
GIO,Alfa Romeo Racing,11.0,13.0,German Grand Prix,Germany,2019,0 days 00:01:17.507000,0 days 00:01:18.538384615,4
GAS,Red Bull Racing,4.0,14.0,German Grand Prix,Germany,2019,0 days 00:01:17.495000,0 days 00:01:19.448818181,4
BOT,Mercedes,3.0,15.0,German Grand Prix,Germany,2019,0 days 00:01:18.272000,0 days 00:01:19.012000,4
HUL,Renault,9.0,16.0,German Grand Prix,Germany,2019,0 days 00:01:29.576000,0 days 00:01:31.720600,3
LEC,Ferrari,10.0,17.0,German Grand Prix,Germany,2019,0 days 00:01:27.697000,0 days 00:01:30.880666666,2
NOR,McLaren,19.0,18.0,German Grand Prix,Germany,2019,0 days 00:01:31.081000,0 days 00:01:32.748625,1
RIC,Renault,13.0,19.0,German Grand Prix,Germany,2019,0 days 00:01:32.654000,0 days 00:01:33.838285714,1
PER,Racing Point,8.0,20.0,German Grand Prix,Germany,2019,0 days 00:01:52.843000,0 days 00:01:52.843000,0
