Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,4.0,1.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:31.772000,0 days 00:01:33.790547619,1
LEC,Ferrari,2.0,2.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:31.634000,0 days 00:01:33.750666666,1
SAI,Ferrari,3.0,3.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:31.905000,0 days 00:01:33.832682926,1
PER,Red Bull Racing,1.0,4.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:32.042000,0 days 00:01:33.772268292,1
RUS,Mercedes,6.0,5.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:32.821000,0 days 00:01:34.608634146,1
OCO,Alpine,5.0,6.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:33.103000,0 days 00:01:35.508902439,1
NOR,McLaren,11.0,7.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:32.753000,0 days 00:01:35.659195121,1
GAS,AlphaTauri,9.0,8.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:33.468000,0 days 00:01:35.823097560,1
MAG,Haas F1 Team,10.0,9.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:32.779000,0 days 00:01:35.266400,1
HAM,Mercedes,15.0,10.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:32.997000,0 days 00:01:35.390350,1
ZHO,Alfa Romeo,12.0,11.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:33.924000,0 days 00:01:35.955550,2
HUL,Aston Martin,17.0,12.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:33.651000,0 days 00:01:36.268150,1
STR,Aston Martin,13.0,13.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:34.446000,0 days 00:01:36.529081081,1
ALB,Williams,16.0,14.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:34.368000,0 days 00:01:36.590472222,1
BOT,Alfa Romeo,8.0,15.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:33.979000,0 days 00:01:36.064310344,2
ALO,Alpine,7.0,16.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:33.831000,0 days 00:01:35.873862068,1
RIC,McLaren,14.0,17.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:34.487000,0 days 00:01:36.270142857,1
LAT,Williams,18.0,18.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,0 days 00:01:37.530000,0 days 00:01:38.299153846,0
TSU,AlphaTauri,19.0,19.0,Saudi Arabian Grand Prix,Saudi Arabia,2022,,,0
MSC,Haas F1 Team,,,Saudi Arabian Grand Prix,Saudi Arabia,2022,,,0
