Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,1.0,1.0,Spanish Grand Prix,Spain,2018,0 days 00:01:19.133000,0 days 00:01:20.856298245,2
BOT,Mercedes,2.0,2.0,Spanish Grand Prix,Spain,2018,0 days 00:01:19.478000,0 days 00:01:21.109561403,2
VER,Red Bull Racing,5.0,3.0,Spanish Grand Prix,Spain,2018,0 days 00:01:19.422000,0 days 00:01:21.126160714,2
VET,Ferrari,3.0,4.0,Spanish Grand Prix,Spain,2018,0 days 00:01:19.128000,0 days 00:01:20.953214285,3
RIC,Red Bull Racing,6.0,5.0,Spanish Grand Prix,Spain,2018,0 days 00:01:18.441000,0 days 00:01:21.284200,2
MAG,Haas F1 Team,7.0,6.0,Spanish Grand Prix,Spain,2018,0 days 00:01:20.246000,0 days 00:01:22.279471698,2
SAI,Renault,9.0,7.0,Spanish Grand Prix,Spain,2018,0 days 00:01:21.324000,0 days 00:01:22.971462962,2
ALO,McLaren,8.0,8.0,Spanish Grand Prix,Spain,2018,0 days 00:01:20.727000,0 days 00:01:23.027666666,2
PER,Force India,15.0,9.0,Spanish Grand Prix,Spain,2018,0 days 00:01:21.128000,0 days 00:01:23.097538461,3
LEC,Sauber,14.0,10.0,Spanish Grand Prix,Spain,2018,0 days 00:01:22.122000,0 days 00:01:23.639537037,2
STR,Williams,18.0,11.0,Spanish Grand Prix,Spain,2018,0 days 00:01:22.095000,0 days 00:01:23.604000,2
HAR,Toro Rosso,20.0,12.0,Spanish Grand Prix,Spain,2018,0 days 00:01:21.439000,0 days 00:01:23.622132075,3
ERI,Sauber,17.0,13.0,Spanish Grand Prix,Spain,2018,0 days 00:01:22.487000,0 days 00:01:23.871333333,2
SIR,Williams,19.0,14.0,Spanish Grand Prix,Spain,2018,0 days 00:01:22.680000,0 days 00:01:24.373490196,4
VAN,McLaren,11.0,15.0,Spanish Grand Prix,Spain,2018,0 days 00:01:22.594000,0 days 00:01:24.352666666,2
OCO,Force India,13.0,16.0,Spanish Grand Prix,Spain,2018,0 days 00:01:22.117000,0 days 00:01:23.945733333,2
RAI,Ferrari,4.0,17.0,Spanish Grand Prix,Spain,2018,0 days 00:01:21.531000,0 days 00:01:22.630722222,1
GRO,Haas F1 Team,10.0,18.0,Spanish Grand Prix,Spain,2018,,,0
GAS,Toro Rosso,12.0,19.0,Spanish Grand Prix,Spain,2018,,,0
HUL,Renault,16.0,20.0,Spanish Grand Prix,Spain,2018,,,0
