Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,1.0,1.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.167000,0 days 00:01:17.633136986,1
VET,Ferrari,4.0,2.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.277000,0 days 00:01:17.607375,1
BOT,Mercedes,2.0,3.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:15.163000,0 days 00:01:17.540225352,2
VER,Red Bull Racing,3.0,4.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.229000,0 days 00:01:17.642287671,1
GAS,Red Bull Racing,8.0,5.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:14.279000,0 days 00:01:17.126322033,2
SAI,McLaren,9.0,6.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:15.891000,0 days 00:01:18.415728571,1
KVY,Toro Rosso,7.0,7.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.288000,0 days 00:01:18.398115942,1
ALB,Toro Rosso,10.0,8.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:15.607000,0 days 00:01:18.376507246,1
RIC,Renault,6.0,9.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:15.697000,0 days 00:01:18.346953125,1
GRO,Haas F1 Team,13.0,10.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.746000,0 days 00:01:18.482309859,1
NOR,McLaren,12.0,11.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.413000,0 days 00:01:18.566579710,1
PER,Racing Point,16.0,12.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.613000,0 days 00:01:18.713757575,1
HUL,Renault,11.0,13.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.276000,0 days 00:01:18.734000,1
MAG,Haas F1 Team,5.0,14.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.992000,0 days 00:01:18.927869565,1
RUS,Williams,19.0,15.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:17.038000,0 days 00:01:18.976552238,1
STR,Racing Point,17.0,16.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.379000,0 days 00:01:19.083328358,1
RAI,Alfa Romeo Racing,14.0,17.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.436000,0 days 00:01:19.213363636,1
KUB,Williams,20.0,18.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:17.388000,0 days 00:01:19.226203125,1
GIO,Alfa Romeo Racing,18.0,19.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:16.299000,0 days 00:01:19.190746031,1
LEC,Ferrari,15.0,20.0,Monaco Grand Prix,Monaco,2019,0 days 00:01:19.151000,0 days 00:01:20.378875,2
