Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,2.0,1.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:19.186000,0 days 00:01:21.044290322,2
VET,Ferrari,4.0,2.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:19.522000,0 days 00:01:21.196177419,2
RAI,Ferrari,6.0,3.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:20.334000,0 days 00:01:21.849645161,1
HAM,Mercedes,3.0,4.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:20.728000,0 days 00:01:22.132032258,2
BOT,Mercedes,5.0,5.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:18.741000,0 days 00:01:21.879807017,3
HUL,Renault,7.0,6.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:20.637000,0 days 00:01:23.893482758,1
LEC,Sauber,9.0,7.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:20.537000,0 days 00:01:23.962071428,1
VAN,McLaren,15.0,8.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:21.921000,0 days 00:01:24.356098360,1
ERI,Sauber,10.0,9.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.440000,0 days 00:01:24.490050,1
GAS,Toro Rosso,20.0,10.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.755000,0 days 00:01:24.301283333,2
OCO,Racing Point,11.0,11.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.629000,0 days 00:01:24.521540983,2
STR,Williams,17.0,12.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.983000,0 days 00:01:24.509450,2
SIR,Williams,19.0,13.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.640000,0 days 00:01:24.693650,1
HAR,Toro Rosso,14.0,14.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.438000,0 days 00:01:24.401000,2
MAG,Haas F1 Team,16.0,15.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:21.874000,0 days 00:01:24.902688524,1
GRO,Haas F1 Team,18.0,16.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:21.370000,0 days 00:01:24.649135593,2
RIC,Red Bull Racing,1.0,17.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:19.462000,0 days 00:01:21.596690909,1
PER,Racing Point,13.0,18.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:23.545000,0 days 00:01:24.774636363,1
SAI,Renault,8.0,19.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:22.386000,0 days 00:01:24.275160,1
ALO,McLaren,12.0,20.0,Mexican Grand Prix,Mexico,2018,0 days 00:01:24.197000,0 days 00:01:24.620500,0
