Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,1.0,1.0,Styrian Grand Prix,Austria,2021,0 days 00:01:08.017000,0 days 00:01:09.269420289,1
HAM,Mercedes,2.0,2.0,Styrian Grand Prix,Austria,2021,0 days 00:01:07.058000,0 days 00:01:09.407121212,2
BOT,Mercedes,5.0,3.0,Styrian Grand Prix,Austria,2021,0 days 00:01:08.619000,0 days 00:01:09.897217391,1
PER,Red Bull Racing,4.0,4.0,Styrian Grand Prix,Austria,2021,0 days 00:01:07.894000,0 days 00:01:09.540954545,2
NOR,McLaren,3.0,5.0,Styrian Grand Prix,Austria,2021,0 days 00:01:08.903000,0 days 00:01:10.233940298,1
SAI,Ferrari,12.0,6.0,Styrian Grand Prix,Austria,2021,0 days 00:01:08.609000,0 days 00:01:10.261560606,1
LEC,Ferrari,7.0,7.0,Styrian Grand Prix,Austria,2021,0 days 00:01:08.738000,0 days 00:01:10.121939393,2
STR,Aston Martin,9.0,8.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.787000,0 days 00:01:10.806430769,1
ALO,Alpine,8.0,9.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.749000,0 days 00:01:10.744134328,1
TSU,AlphaTauri,11.0,10.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.650000,0 days 00:01:10.745716417,1
RAI,Alfa Romeo Racing,18.0,11.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.128000,0 days 00:01:10.763328358,1
VET,Aston Martin,14.0,12.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.821000,0 days 00:01:10.907014705,1
RIC,McLaren,13.0,13.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.305000,0 days 00:01:10.786227272,1
OCO,Alpine,17.0,14.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.576000,0 days 00:01:10.939411764,1
GIO,Alfa Romeo Racing,15.0,15.0,Styrian Grand Prix,Austria,2021,0 days 00:01:09.723000,0 days 00:01:10.923328358,1
MSC,Haas F1 Team,19.0,16.0,Styrian Grand Prix,Austria,2021,0 days 00:01:10.005000,0 days 00:01:11.800358208,1
LAT,Williams,16.0,17.0,Styrian Grand Prix,Austria,2021,0 days 00:01:10.104000,0 days 00:01:11.280967741,2
MAZ,Haas F1 Team,20.0,18.0,Styrian Grand Prix,Austria,2021,0 days 00:01:10.951000,0 days 00:01:12.272093750,1
RUS,Williams,10.0,19.0,Styrian Grand Prix,Austria,2021,0 days 00:01:10.499000,0 days 00:01:11.562937500,2
GAS,AlphaTauri,6.0,20.0,Styrian Grand Prix,Austria,2021,0 days 00:02:03.661000,0 days 00:02:03.661000,0
