Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
NOR,McLaren,5.0,1.0,Miami Grand Prix,United States,2024,0 days 00:01:30.980000,0 days 00:01:32.128117647,1
VER,Red Bull Racing,1.0,2.0,Miami Grand Prix,United States,2024,0 days 00:01:31.261000,0 days 00:01:32.240760,1
LEC,Ferrari,2.0,3.0,Miami Grand Prix,United States,2024,0 days 00:01:31.084000,0 days 00:01:32.315244897,1
PER,Red Bull Racing,4.0,4.0,Miami Grand Prix,United States,2024,0 days 00:01:30.855000,0 days 00:01:32.429958333,2
SAI,Ferrari,3.0,5.0,Miami Grand Prix,United States,2024,0 days 00:01:30.928000,0 days 00:01:32.517156862,1
HAM,Mercedes,8.0,6.0,Miami Grand Prix,United States,2024,0 days 00:01:31.233000,0 days 00:01:32.744395833,1
TSU,RB,10.0,7.0,Miami Grand Prix,United States,2024,0 days 00:01:31.682000,0 days 00:01:33.072540,1
RUS,Mercedes,7.0,8.0,Miami Grand Prix,United States,2024,0 days 00:01:31.921000,0 days 00:01:33.214673469,1
ALO,Aston Martin,15.0,9.0,Miami Grand Prix,United States,2024,0 days 00:01:31.727000,0 days 00:01:33.371183673,1
OCO,Alpine,13.0,10.0,Miami Grand Prix,United States,2024,0 days 00:01:32.037000,0 days 00:01:33.339408163,1
HUL,Haas F1 Team,9.0,11.0,Miami Grand Prix,United States,2024,0 days 00:01:31.941000,0 days 00:01:33.239659574,2
GAS,Alpine,12.0,12.0,Miami Grand Prix,United States,2024,0 days 00:01:32.055000,0 days 00:01:33.328106382,1
PIA,McLaren,6.0,13.0,Miami Grand Prix,United States,2024,0 days 00:01:30.634000,0 days 00:01:32.562770833,2
ZHO,Kick Sauber,19.0,14.0,Miami Grand Prix,United States,2024,0 days 00:01:31.991000,0 days 00:01:33.605775510,1
RIC,RB,20.0,15.0,Miami Grand Prix,United States,2024,0 days 00:01:32.122000,0 days 00:01:33.676836734,1
BOT,Kick Sauber,16.0,16.0,Miami Grand Prix,United States,2024,0 days 00:01:32.098000,0 days 00:01:33.534354166,2
STR,Aston Martin,11.0,17.0,Miami Grand Prix,United States,2024,0 days 00:01:31.588000,0 days 00:01:33.254893617,2
ALB,Williams,14.0,18.0,Miami Grand Prix,United States,2024,0 days 00:01:30.849000,0 days 00:01:33.438688888,2
MAG,Haas F1 Team,18.0,19.0,Miami Grand Prix,United States,2024,0 days 00:01:31.774000,0 days 00:01:33.393265306,3
SAR,Williams,17.0,20.0,Miami Grand Prix,United States,2024,0 days 00:01:33.452000,0 days 00:01:34.449166666,1
