Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
PER,Red Bull Racing,3.0,1.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:44.589000,0 days 00:01:45.785541666,1
VER,Red Bull Racing,2.0,2.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:44.232000,0 days 00:01:45.890395833,1
LEC,Ferrari,1.0,3.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:44.561000,0 days 00:01:46.289375,1
ALO,Aston Martin,6.0,4.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:44.241000,0 days 00:01:46.261297872,1
SAI,Ferrari,4.0,5.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.175000,0 days 00:01:46.722361702,1
HAM,Mercedes,5.0,6.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.346000,0 days 00:01:46.688555555,1
STR,Aston Martin,9.0,7.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.627000,0 days 00:01:46.895340425,1
RUS,Mercedes,11.0,8.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:43.370000,0 days 00:01:46.918200,2
NOR,McLaren,7.0,9.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.738000,0 days 00:01:47.615369565,1
TSU,AlphaTauri,8.0,10.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.727000,0 days 00:01:47.719088888,1
PIA,McLaren,10.0,11.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.631000,0 days 00:01:47.795422222,1
ALB,Williams,12.0,12.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.925000,0 days 00:01:47.846688888,1
MAG,Haas F1 Team,16.0,13.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.850000,0 days 00:01:47.810847826,1
GAS,Alpine,17.0,14.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.540000,0 days 00:01:47.386139534,2
OCO,Alpine,19.0,15.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:45.908000,0 days 00:01:47.784533333,1
SAR,Williams,14.0,16.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:46.501000,0 days 00:01:48.044068181,1
HUL,Haas F1 Team,20.0,17.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:46.731000,0 days 00:01:48.120568181,1
BOT,Alfa Romeo,13.0,18.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:46.304000,0 days 00:01:48.357441860,3
ZHO,Alfa Romeo,15.0,19.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:47.553000,0 days 00:01:48.851812500,1
DEV,AlphaTauri,18.0,20.0,Azerbaijan Grand Prix,Azerbaijan,2023,0 days 00:01:48.781000,0 days 00:01:49.323250,0
