Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,4.0,1.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:29.465000,0 days 00:01:31.191280,2
HAM,Mercedes,2.0,2.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:28.451000,0 days 00:01:31.465700,2
BOT,Mercedes,1.0,3.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:29.765000,0 days 00:01:31.584700,2
LEC,Ferrari,8.0,4.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.552000,0 days 00:01:31.939140,1
ALB,Red Bull Racing,9.0,5.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:29.477000,0 days 00:01:31.786857142,2
STR,Racing Point,6.0,6.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.379000,0 days 00:01:31.967775510,2
HUL,Racing Point,3.0,7.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.087000,0 days 00:01:31.942489795,3
OCO,Renault,14.0,8.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.575000,0 days 00:01:32.670980,1
NOR,McLaren,10.0,9.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.698000,0 days 00:01:32.274285714,2
KVY,AlphaTauri,16.0,10.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.738000,0 days 00:01:32.343551020,2
GAS,AlphaTauri,7.0,11.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.092000,0 days 00:01:32.387387755,2
VET,Ferrari,11.0,12.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.785000,0 days 00:01:32.382979591,2
SAI,McLaren,12.0,13.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.556000,0 days 00:01:32.341918367,2
RIC,Renault,5.0,14.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:31.168000,0 days 00:01:32.492456521,3
RAI,Alfa Romeo Racing,20.0,15.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:31.756000,0 days 00:01:33.601795918,1
GRO,Haas F1 Team,13.0,16.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:30.793000,0 days 00:01:33.190208333,2
GIO,Alfa Romeo Racing,19.0,17.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:31.826000,0 days 00:01:33.430437500,2
RUS,Williams,15.0,18.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:31.408000,0 days 00:01:33.058680851,3
LAT,Williams,18.0,19.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:29.950000,0 days 00:01:33.012673913,3
MAG,Haas F1 Team,17.0,20.0,70th Anniversary Grand Prix,Great Britain,2020,0 days 00:01:31.830000,0 days 00:01:33.975615384,2
