Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,2.0,1.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:20.933000,0 days 00:01:22.166816666,3
VER,Red Bull Racing,3.0,2.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:19.849000,0 days 00:01:22.178350877,4
BOT,Mercedes,1.0,3.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:19.865000,0 days 00:01:22.262896551,4
PER,Red Bull Racing,4.0,4.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:20.643000,0 days 00:01:22.564333333,3
NOR,McLaren,7.0,5.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:21.696000,0 days 00:01:22.951440677,3
LEC,Ferrari,8.0,6.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:21.496000,0 days 00:01:22.850473684,3
OCO,Alpine,6.0,7.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:21.886000,0 days 00:01:23.030931034,3
ALO,Alpine,13.0,8.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:21.032000,0 days 00:01:22.949210526,3
RIC,McLaren,16.0,9.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:21.987000,0 days 00:01:23.195068965,3
GAS,AlphaTauri,9.0,10.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.014000,0 days 00:01:23.263655172,3
SAI,Ferrari,5.0,11.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.325000,0 days 00:01:23.365965517,3
GIO,Alfa Romeo Racing,12.0,12.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.167000,0 days 00:01:23.297910714,3
VET,Aston Martin,10.0,13.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.416000,0 days 00:01:23.522754385,3
STR,Aston Martin,17.0,14.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:21.970000,0 days 00:01:23.447357142,3
TSU,AlphaTauri,14.0,15.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.058000,0 days 00:01:23.471851851,3
RUS,Williams,11.0,16.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.654000,0 days 00:01:24.442857142,3
MSC,Haas F1 Team,19.0,17.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:22.755000,0 days 00:01:24.861946428,3
LAT,Williams,18.0,18.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:23.155000,0 days 00:01:24.902018181,3
MAZ,Haas F1 Team,20.0,19.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:23.641000,0 days 00:01:25.367666666,4
RAI,Alfa Romeo Racing,15.0,20.0,Portuguese Grand Prix,Portugal,2021,0 days 00:01:33.673000,0 days 00:01:33.673000,0
