Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
RIC,Red Bull Racing,6.0,1.0,Chinese Grand Prix,China,2018,0 days 00:01:35.785000,0 days 00:01:37.964687500,2
BOT,Mercedes,3.0,2.0,Chinese Grand Prix,China,2018,0 days 00:01:36.987000,0 days 00:01:38.336235294,2
RAI,Ferrari,2.0,3.0,Chinese Grand Prix,China,2018,0 days 00:01:36.456000,0 days 00:01:38.413791666,2
HAM,Mercedes,4.0,4.0,Chinese Grand Prix,China,2018,0 days 00:01:36.878000,0 days 00:01:38.449061224,2
VER,Red Bull Racing,5.0,5.0,Chinese Grand Prix,China,2018,0 days 00:01:36.206000,0 days 00:01:38.126854166,3
HUL,Renault,7.0,6.0,Chinese Grand Prix,China,2018,0 days 00:01:36.881000,0 days 00:01:39.020437500,3
ALO,McLaren,13.0,7.0,Chinese Grand Prix,China,2018,0 days 00:01:37.234000,0 days 00:01:39.566562500,2
VET,Ferrari,1.0,8.0,Chinese Grand Prix,China,2018,0 days 00:01:37.479000,0 days 00:01:38.710740,2
SAI,Renault,9.0,9.0,Chinese Grand Prix,China,2018,0 days 00:01:37.754000,0 days 00:01:39.430875,3
MAG,Haas F1 Team,11.0,10.0,Chinese Grand Prix,China,2018,0 days 00:01:38.152000,0 days 00:01:39.682653061,2
OCO,Force India,12.0,11.0,Chinese Grand Prix,China,2018,0 days 00:01:37.985000,0 days 00:01:39.690687500,3
PER,Force India,8.0,12.0,Chinese Grand Prix,China,2018,0 days 00:01:37.673000,0 days 00:01:39.741666666,3
VAN,McLaren,14.0,13.0,Chinese Grand Prix,China,2018,0 days 00:01:38.137000,0 days 00:01:40.029020833,2
STR,Williams,18.0,14.0,Chinese Grand Prix,China,2018,0 days 00:01:38.500000,0 days 00:01:40.243645833,2
SIR,Williams,16.0,15.0,Chinese Grand Prix,China,2018,0 days 00:01:38.624000,0 days 00:01:40.608938775,3
ERI,Sauber,20.0,16.0,Chinese Grand Prix,China,2018,0 days 00:01:38.386000,0 days 00:01:40.634040,2
GRO,Haas F1 Team,10.0,17.0,Chinese Grand Prix,China,2018,0 days 00:01:37.410000,0 days 00:01:39.740478260,2
GAS,Toro Rosso,17.0,18.0,Chinese Grand Prix,China,2018,0 days 00:01:38.367000,0 days 00:01:40.375820,3
LEC,Sauber,19.0,19.0,Chinese Grand Prix,China,2018,0 days 00:01:38.808000,0 days 00:01:40.770208333,2
HAR,Toro Rosso,15.0,20.0,Chinese Grand Prix,China,2018,0 days 00:01:39.376000,0 days 00:01:40.798837209,2
