Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,4.0,1.0,Austrian Grand Prix,Austria,2018,0 days 00:01:07.442000,0 days 00:01:08.520367647,2
RAI,Ferrari,3.0,2.0,Austrian Grand Prix,Austria,2018,0 days 00:01:06.957000,0 days 00:01:08.526485294,2
VET,Ferrari,6.0,3.0,Austrian Grand Prix,Austria,2018,0 days 00:01:07.082000,0 days 00:01:08.479426470,2
GRO,Haas F1 Team,5.0,4.0,Austrian Grand Prix,Austria,2018,0 days 00:01:09.071000,0 days 00:01:09.778597014,2
MAG,Haas F1 Team,8.0,5.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.476000,0 days 00:01:09.692121212,2
OCO,Force India,11.0,6.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.850000,0 days 00:01:09.962611940,2
PER,Force India,16.0,7.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.504000,0 days 00:01:09.751984615,2
ALO,McLaren,13.0,8.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.661000,0 days 00:01:10.070575757,2
LEC,Sauber,18.0,9.0,Austrian Grand Prix,Austria,2018,0 days 00:01:09.006000,0 days 00:01:10.055600,2
ERI,Sauber,20.0,10.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.216000,0 days 00:01:10.017761904,2
GAS,Toro Rosso,12.0,11.0,Austrian Grand Prix,Austria,2018,0 days 00:01:09.295000,0 days 00:01:10.291666666,2
SAI,Renault,9.0,12.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.766000,0 days 00:01:10.027276923,3
SIR,Williams,17.0,13.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.971000,0 days 00:01:10.415065573,3
STR,Williams,14.0,14.0,Austrian Grand Prix,Austria,2018,0 days 00:01:09.203000,0 days 00:01:10.634507692,3
VAN,McLaren,15.0,15.0,Austrian Grand Prix,Austria,2018,0 days 00:01:08.894000,0 days 00:01:10.472428571,2
HAM,Mercedes,2.0,16.0,Austrian Grand Prix,Austria,2018,0 days 00:01:07.241000,0 days 00:01:08.713410714,3
HAR,Toro Rosso,19.0,17.0,Austrian Grand Prix,Austria,2018,0 days 00:01:09.171000,0 days 00:01:10.563740,1
RIC,Red Bull Racing,7.0,18.0,Austrian Grand Prix,Austria,2018,0 days 00:01:07.591000,0 days 00:01:08.862125,3
BOT,Mercedes,1.0,19.0,Austrian Grand Prix,Austria,2018,0 days 00:01:09.044000,0 days 00:01:09.786000,1
HUL,Renault,10.0,20.0,Austrian Grand Prix,Austria,2018,0 days 00:01:10.380000,0 days 00:01:11.200200,1
