Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,2.0,1.0,Austrian Grand Prix,Austria,2019,0 days 00:01:07.475000,0 days 00:01:08.926044117,1
LEC,Ferrari,1.0,2.0,Austrian Grand Prix,Austria,2019,0 days 00:01:07.994000,0 days 00:01:09.105200,1
BOT,Mercedes,3.0,3.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.565000,0 days 00:01:09.345685714,1
VET,Ferrari,9.0,4.0,Austrian Grand Prix,Austria,2019,0 days 00:01:07.676000,0 days 00:01:08.836000,2
HAM,Mercedes,4.0,5.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.050000,0 days 00:01:09.148588235,1
NOR,McLaren,5.0,6.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.699000,0 days 00:01:09.920328358,1
GAS,Red Bull Racing,8.0,7.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.790000,0 days 00:01:10.058882352,1
SAI,McLaren,19.0,8.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.117000,0 days 00:01:10.091424242,1
RAI,Alfa Romeo Racing,6.0,9.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.126000,0 days 00:01:10.283308823,1
GIO,Alfa Romeo Racing,7.0,10.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.051000,0 days 00:01:10.216626865,1
PER,Racing Point,13.0,11.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.061000,0 days 00:01:10.237880597,1
RIC,Renault,12.0,12.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.019000,0 days 00:01:10.168681818,1
HUL,Renault,15.0,13.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.248000,0 days 00:01:10.332000,1
STR,Racing Point,14.0,14.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.288000,0 days 00:01:10.380567164,1
ALB,Toro Rosso,18.0,15.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.946000,0 days 00:01:10.304833333,1
GRO,Haas F1 Team,11.0,16.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.987000,0 days 00:01:10.468686567,1
KVY,Toro Rosso,16.0,17.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.498000,0 days 00:01:10.796441176,1
RUS,Williams,0.0,18.0,Austrian Grand Prix,Austria,2019,0 days 00:01:09.926000,0 days 00:01:11.131716417,1
MAG,Haas F1 Team,10.0,19.0,Austrian Grand Prix,Austria,2019,0 days 00:01:08.903000,0 days 00:01:10.867596774,3
KUB,Williams,17.0,20.0,Austrian Grand Prix,Austria,2019,0 days 00:01:10.964000,0 days 00:01:12.142476923,1
