Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,2.0,1.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.649000,0 days 00:01:15.758080,1
SAI,Ferrari,4.0,2.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.621000,0 days 00:01:15.828533333,1
NOR,McLaren,5.0,3.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.670000,0 days 00:01:16.016210526,1
PER,Red Bull Racing,9.0,4.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.552000,0 days 00:01:15.986802631,1
VET,Aston Martin,8.0,5.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.316000,0 days 00:01:16.416631578,1
GAS,AlphaTauri,6.0,6.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.412000,0 days 00:01:16.379973333,1
HAM,Mercedes,7.0,7.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:12.909000,0 days 00:01:16.231507246,2
STR,Aston Martin,13.0,8.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.674000,0 days 00:01:16.724283783,1
OCO,Alpine,11.0,9.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.316000,0 days 00:01:17.272360,1
GIO,Alfa Romeo Racing,10.0,10.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.331000,0 days 00:01:17.202270270,1
RAI,Alfa Romeo Racing,14.0,11.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.971000,0 days 00:01:17.028859154,1
RIC,McLaren,12.0,12.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.578000,0 days 00:01:16.989457142,1
ALO,Alpine,17.0,13.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.026000,0 days 00:01:17.068056338,1
RUS,Williams,15.0,14.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.539000,0 days 00:01:17.323746478,1
LAT,Williams,18.0,15.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.573000,0 days 00:01:17.479958904,1
TSU,AlphaTauri,16.0,16.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:14.037000,0 days 00:01:17.204969230,1
MAZ,Haas F1 Team,19.0,17.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:16.866000,0 days 00:01:18.680230769,1
MSC,Haas F1 Team,20.0,18.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:16.425000,0 days 00:01:18.163603174,1
BOT,Mercedes,3.0,19.0,Monaco Grand Prix,Monaco,2021,0 days 00:01:15.706000,0 days 00:01:16.570785714,0
LEC,Ferrari,1.0,20.0,Monaco Grand Prix,Monaco,2021,,,0
