Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,2.0,1.0,United States Grand Prix,United States,2022,0 days 00:01:39.541000,0 days 00:01:41.220760869,2
HAM,Mercedes,3.0,2.0,United States Grand Prix,United States,2022,0 days 00:01:39.830000,0 days 00:01:41.609347826,2
LEC,Ferrari,12.0,3.0,United States Grand Prix,United States,2022,0 days 00:01:39.731000,0 days 00:01:41.887239130,2
PER,Red Bull Racing,9.0,4.0,United States Grand Prix,United States,2022,0 days 00:01:39.563000,0 days 00:01:41.701377777,2
RUS,Mercedes,4.0,5.0,United States Grand Prix,United States,2022,0 days 00:01:38.788000,0 days 00:01:42.092377777,3
NOR,McLaren,6.0,6.0,United States Grand Prix,United States,2022,0 days 00:01:41.322000,0 days 00:01:43.178108695,2
ALO,Alpine,14.0,7.0,United States Grand Prix,United States,2022,0 days 00:01:41.804000,0 days 00:01:43.519936170,2
VET,Aston Martin,10.0,8.0,United States Grand Prix,United States,2022,0 days 00:01:41.538000,0 days 00:01:42.994425531,2
MAG,Haas F1 Team,13.0,9.0,United States Grand Prix,United States,2022,0 days 00:01:42.546000,0 days 00:01:43.981553191,1
TSU,AlphaTauri,19.0,10.0,United States Grand Prix,United States,2022,0 days 00:01:42.206000,0 days 00:01:43.442488888,2
OCO,Alpine,0.0,11.0,United States Grand Prix,United States,2022,0 days 00:01:41.243000,0 days 00:01:43.609413043,2
ZHO,Alfa Romeo,18.0,12.0,United States Grand Prix,United States,2022,0 days 00:01:42.394000,0 days 00:01:43.942543478,2
ALB,Williams,8.0,13.0,United States Grand Prix,United States,2022,0 days 00:01:42.471000,0 days 00:01:44.081425531,2
GAS,AlphaTauri,11.0,14.0,United States Grand Prix,United States,2022,0 days 00:01:41.674000,0 days 00:01:43.413000,2
MSC,Haas F1 Team,16.0,15.0,United States Grand Prix,United States,2022,0 days 00:01:42.320000,0 days 00:01:43.816543478,2
RIC,McLaren,15.0,16.0,United States Grand Prix,United States,2022,0 days 00:01:42.420000,0 days 00:01:43.963088888,2
LAT,Williams,17.0,17.0,United States Grand Prix,United States,2022,0 days 00:01:43.485000,0 days 00:01:44.493666666,2
STR,Aston Martin,5.0,18.0,United States Grand Prix,United States,2022,0 days 00:01:43.080000,0 days 00:01:44.027125,1
BOT,Alfa Romeo,7.0,19.0,United States Grand Prix,United States,2022,0 days 00:01:43.391000,0 days 00:01:44.605800,1
SAI,Ferrari,1.0,20.0,United States Grand Prix,United States,2022,0 days 00:01:55.016000,0 days 00:01:55.016000,0
