Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,6.0,1.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:48.922000,0 days 00:01:51.846658536,2
PER,Red Bull Racing,2.0,2.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.308000,0 days 00:01:52.428357142,2
LEC,Ferrari,1.0,3.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.436000,0 days 00:01:52.688714285,2
HAM,Mercedes,3.0,4.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:47.305000,0 days 00:01:52.015764705,3
ALO,Aston Martin,9.0,5.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.938000,0 days 00:01:53.140690476,2
RUS,Mercedes,8.0,6.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.603000,0 days 00:01:53.209146341,1
NOR,McLaren,7.0,7.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:51.682000,0 days 00:01:53.375268292,2
OCO,Alpine,14.0,8.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.439000,0 days 00:01:53.290400,2
STR,Aston Martin,10.0,9.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:51.297000,0 days 00:01:53.472487804,1
TSU,AlphaTauri,11.0,10.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:51.394000,0 days 00:01:53.599536585,2
GAS,Alpine,12.0,11.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.911000,0 days 00:01:53.658536585,1
BOT,Alfa Romeo,13.0,12.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.515000,0 days 00:01:53.567850,2
ZHO,Alfa Romeo,17.0,13.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.188000,0 days 00:01:53.528052631,2
ALB,Williams,15.0,14.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:49.841000,0 days 00:01:53.283270270,3
MAG,Haas F1 Team,16.0,15.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.993000,0 days 00:01:53.919350,2
RIC,AlphaTauri,19.0,16.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.994000,0 days 00:01:53.519538461,2
SAR,Williams,18.0,17.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:50.236000,0 days 00:01:53.645342105,3
HUL,Haas F1 Team,20.0,18.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:49.907000,0 days 00:01:53.991538461,2
SAI,Ferrari,4.0,19.0,Belgian Grand Prix,Belgium,2023,0 days 00:01:53.138000,0 days 00:01:56.120300,1
PIA,McLaren,5.0,20.0,Belgian Grand Prix,Belgium,2023,,,0
