Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
GAS,AlphaTauri,10.0,1.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.037000,0 days 00:01:25.249651162,2
SAI,McLaren,3.0,2.0,Italian Grand Prix,Italy,2020,0 days 00:01:23.882000,0 days 00:01:25.045222222,2
STR,Racing Point,8.0,3.0,Italian Grand Prix,Italy,2020,0 days 00:01:23.897000,0 days 00:01:25.197454545,1
NOR,McLaren,6.0,4.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.232000,0 days 00:01:25.265133333,2
BOT,Mercedes,2.0,5.0,Italian Grand Prix,Italy,2020,0 days 00:01:23.961000,0 days 00:01:25.256409090,2
RIC,Renault,7.0,6.0,Italian Grand Prix,Italy,2020,0 days 00:01:23.898000,0 days 00:01:25.255181818,2
HAM,Mercedes,1.0,7.0,Italian Grand Prix,Italy,2020,0 days 00:01:22.746000,0 days 00:01:24.434318181,3
OCO,Renault,12.0,8.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.490000,0 days 00:01:25.578931818,2
KVY,AlphaTauri,11.0,9.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.479000,0 days 00:01:25.702090909,2
PER,Racing Point,4.0,10.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.336000,0 days 00:01:25.665355555,2
LAT,Williams,20.0,11.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.999000,0 days 00:01:26.327976744,2
GRO,Haas F1 Team,16.0,12.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.785000,0 days 00:01:26.189522727,2
RAI,Alfa Romeo Racing,14.0,13.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.835000,0 days 00:01:26.231906976,2
RUS,Williams,19.0,14.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.421000,0 days 00:01:26.209227272,2
ALB,Red Bull Racing,9.0,15.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.888000,0 days 00:01:26.071250,2
GIO,Alfa Romeo Racing,18.0,16.0,Italian Grand Prix,Italy,2020,0 days 00:01:24.856000,0 days 00:01:26.124046511,3
VER,Red Bull Racing,5.0,17.0,Italian Grand Prix,Italy,2020,0 days 00:01:25.539000,0 days 00:01:26.662772727,2
LEC,Ferrari,13.0,18.0,Italian Grand Prix,Italy,2020,0 days 00:01:26.026000,0 days 00:01:26.645937500,1
MAG,Haas F1 Team,15.0,19.0,Italian Grand Prix,Italy,2020,0 days 00:01:25.787000,0 days 00:01:26.206333333,1
VET,Ferrari,17.0,20.0,Italian Grand Prix,Italy,2020,0 days 00:01:27.107000,0 days 00:01:27.751500,0
