Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VER,Red Bull Racing,1.0,1.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:10.862000,0 days 00:01:12.673553571,3
GAS,Toro Rosso,6.0,2.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.425000,0 days 00:01:14.186472727,2
SAI,McLaren,20.0,3.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:13.158000,0 days 00:01:14.714913793,1
RAI,Alfa Romeo Racing,8.0,4.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:13.135000,0 days 00:01:14.370054545,2
GIO,Alfa Romeo Racing,12.0,5.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:13.020000,0 days 00:01:14.509964285,2
RIC,Renault,11.0,6.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.733000,0 days 00:01:14.268875,2
HAM,Mercedes,3.0,7.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:11.082000,0 days 00:01:12.865339285,3
NOR,McLaren,10.0,8.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.328000,0 days 00:01:14.756245614,2
PER,Racing Point,15.0,9.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.840000,0 days 00:01:14.575107142,2
KVY,Toro Rosso,16.0,10.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.385000,0 days 00:01:14.628611111,2
MAG,Haas F1 Team,9.0,11.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:13.262000,0 days 00:01:14.818444444,2
RUS,Williams,18.0,12.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:13.752000,0 days 00:01:15.878372881,3
GRO,Haas F1 Team,7.0,13.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:13.619000,0 days 00:01:15.011362068,2
ALB,Red Bull Racing,5.0,14.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:11.087000,0 days 00:01:13.388166666,2
HUL,Renault,13.0,15.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.934000,0 days 00:01:14.944553571,3
KUB,Williams,19.0,16.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:14.553000,0 days 00:01:16.556785714,4
VET,Ferrari,2.0,17.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:11.384000,0 days 00:01:13.139277777,2
LEC,Ferrari,14.0,18.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:11.423000,0 days 00:01:13.695053571,2
STR,Racing Point,17.0,19.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:12.603000,0 days 00:01:14.847563636,2
BOT,Mercedes,4.0,20.0,Brazilian Grand Prix,Brazil,2019,0 days 00:01:10.698000,0 days 00:01:13.574543478,2
