Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,1.0,1.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.238000,0 days 00:01:30.157585365,1
VER,Red Bull Racing,3.0,2.0,British Grand Prix,Great Britain,2020,0 days 00:01:27.097000,0 days 00:01:30.374125,2
LEC,Ferrari,4.0,3.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.813000,0 days 00:01:31.346300,1
RIC,Renault,8.0,4.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.482000,0 days 00:01:31.464250,1
NOR,McLaren,5.0,5.0,British Grand Prix,Great Britain,2020,0 days 00:01:30.058000,0 days 00:01:31.549775,1
OCO,Renault,9.0,6.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.491000,0 days 00:01:31.676700,1
GAS,AlphaTauri,11.0,7.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.603000,0 days 00:01:31.675948717,1
ALB,Red Bull Racing,12.0,8.0,British Grand Prix,Great Britain,2020,0 days 00:01:28.689000,0 days 00:01:30.640722222,2
STR,Racing Point,6.0,9.0,British Grand Prix,Great Britain,2020,0 days 00:01:30.475000,0 days 00:01:31.921950,1
VET,Ferrari,10.0,10.0,British Grand Prix,Great Britain,2020,0 days 00:01:30.537000,0 days 00:01:32.066975,1
BOT,Mercedes,2.0,11.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.265000,0 days 00:01:30.328100,2
RUS,Williams,20.0,12.0,British Grand Prix,Great Britain,2020,0 days 00:01:30.862000,0 days 00:01:32.174179487,1
SAI,McLaren,7.0,13.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.948000,0 days 00:01:31.493184210,2
GIO,Alfa Romeo Racing,15.0,14.0,British Grand Prix,Great Britain,2020,0 days 00:01:30.977000,0 days 00:01:32.251725,1
LAT,Williams,18.0,15.0,British Grand Prix,Great Britain,2020,0 days 00:01:30.501000,0 days 00:01:32.248153846,1
GRO,Haas F1 Team,17.0,16.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.782000,0 days 00:01:31.765512820,1
RAI,Alfa Romeo Racing,16.0,17.0,British Grand Prix,Great Britain,2020,0 days 00:01:29.973000,0 days 00:01:32.721305555,2
KVY,AlphaTauri,19.0,18.0,British Grand Prix,Great Britain,2020,0 days 00:01:32.443000,0 days 00:01:33.649000,0
MAG,Haas F1 Team,14.0,19.0,British Grand Prix,Great Britain,2020,0 days 00:01:43.754000,0 days 00:01:43.754000,0
HUL,Racing Point,13.0,20.0,British Grand Prix,Great Britain,2020,,,0
