Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,10.0,1.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:11.982000,0 days 00:01:13.594631578,4
VER,Red Bull Racing,2.0,2.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:12.486000,0 days 00:01:13.837689655,4
BOT,Mercedes,1.0,3.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:12.526000,0 days 00:01:14.046600,4
PER,Red Bull Racing,4.0,4.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:11.010000,0 days 00:01:13.818836363,5
LEC,Ferrari,6.0,5.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:12.822000,0 days 00:01:14.448017241,4
SAI,Ferrari,3.0,6.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:12.710000,0 days 00:01:14.405105263,4
GAS,AlphaTauri,7.0,7.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:13.227000,0 days 00:01:14.890910714,4
OCO,Alpine,8.0,8.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.430000,0 days 00:01:15.579333333,3
ALO,Alpine,12.0,9.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:13.922000,0 days 00:01:15.344929824,3
NOR,McLaren,5.0,10.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:13.761000,0 days 00:01:15.372571428,5
VET,Aston Martin,9.0,11.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:13.634000,0 days 00:01:15.302482758,4
RAI,Alfa Romeo Racing,0.0,12.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:12.621000,0 days 00:01:15.133703703,4
RUS,Williams,17.0,13.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.355000,0 days 00:01:16.173542372,4
GIO,Alfa Romeo Racing,13.0,14.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.227000,0 days 00:01:15.810263157,4
TSU,AlphaTauri,15.0,15.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.204000,0 days 00:01:15.906929824,5
LAT,Williams,16.0,16.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.616000,0 days 00:01:15.913982758,4
MAZ,Haas F1 Team,19.0,17.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.954000,0 days 00:01:17.065677966,3
MSC,Haas F1 Team,18.0,18.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:13.793000,0 days 00:01:16.187075471,5
RIC,McLaren,11.0,19.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:14.443000,0 days 00:01:15.534368421,3
STR,Aston Martin,14.0,20.0,São Paulo Grand Prix,Brazil,2021,0 days 00:01:15.344000,0 days 00:01:16.615135135,3
