Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
HAM,Mercedes,2.0,1.0,Eifel Grand Prix,Germany,2020,0 days 00:01:28.145000,0 days 00:01:30.688134615,2
VER,Red Bull Racing,3.0,2.0,Eifel Grand Prix,Germany,2020,0 days 00:01:28.139000,0 days 00:01:31.004826923,2
RIC,Renault,6.0,3.0,Eifel Grand Prix,Germany,2020,0 days 00:01:29.584000,0 days 00:01:32.137196078,2
PER,Racing Point,9.0,4.0,Eifel Grand Prix,Germany,2020,0 days 00:01:29.700000,0 days 00:01:32.289120,2
SAI,McLaren,10.0,5.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.129000,0 days 00:01:32.503120,2
GAS,AlphaTauri,12.0,6.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.110000,0 days 00:01:32.942941176,2
LEC,Ferrari,4.0,7.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.712000,0 days 00:01:32.838980392,2
HUL,Racing Point,20.0,8.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.733000,0 days 00:01:33.307403846,2
GRO,Haas F1 Team,16.0,9.0,Eifel Grand Prix,Germany,2020,0 days 00:01:31.562000,0 days 00:01:33.493942307,1
GIO,Alfa Romeo Racing,14.0,10.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.909000,0 days 00:01:33.335450980,2
VET,Ferrari,11.0,11.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.408000,0 days 00:01:33.325625,2
RAI,Alfa Romeo Racing,19.0,12.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.512000,0 days 00:01:33.454938775,2
MAG,Haas F1 Team,15.0,13.0,Eifel Grand Prix,Germany,2020,0 days 00:01:30.456000,0 days 00:01:33.263936170,2
LAT,Williams,18.0,14.0,Eifel Grand Prix,Germany,2020,0 days 00:01:31.377000,0 days 00:01:33.733480,2
KVY,AlphaTauri,13.0,15.0,Eifel Grand Prix,Germany,2020,0 days 00:01:32.214000,0 days 00:01:33.633884615,2
NOR,McLaren,8.0,16.0,Eifel Grand Prix,Germany,2020,0 days 00:01:32.328000,0 days 00:01:33.602435897,1
ALB,Red Bull Racing,5.0,17.0,Eifel Grand Prix,Germany,2020,0 days 00:01:32.330000,0 days 00:01:34.105800,1
OCO,Renault,7.0,18.0,Eifel Grand Prix,Germany,2020,0 days 00:01:33.189000,0 days 00:01:34.022473684,0
BOT,Mercedes,1.0,19.0,Eifel Grand Prix,Germany,2020,0 days 00:01:31.884000,0 days 00:01:32.200692307,1
RUS,Williams,17.0,20.0,Eifel Grand Prix,Germany,2020,0 days 00:01:34.526000,0 days 00:01:35.707300,1
