Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops
VET,Ferrari,1.0,1.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.453000,0 days 00:01:35.543849056,2
BOT,Mercedes,3.0,2.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:33.740000,0 days 00:01:35.429423076,2
HAM,Mercedes,9.0,3.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:33.953000,0 days 00:01:35.357196078,2
GAS,Toro Rosso,5.0,4.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.863000,0 days 00:01:36.130509803,3
MAG,Haas F1 Team,6.0,5.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.327000,0 days 00:01:36.306176470,3
HUL,Renault,7.0,6.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.667000,0 days 00:01:36.482080,3
ALO,McLaren,13.0,7.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.168000,0 days 00:01:36.465816326,3
VAN,McLaren,14.0,8.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.131000,0 days 00:01:36.810080,3
ERI,Sauber,17.0,9.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.093000,0 days 00:01:37.196900,2
OCO,Force India,8.0,10.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.043000,0 days 00:01:37.150140,3
SAI,Renault,10.0,11.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.535000,0 days 00:01:37.185580,3
LEC,Sauber,19.0,12.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.058000,0 days 00:01:37.209000,3
GRO,Haas F1 Team,16.0,13.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.053000,0 days 00:01:36.712319148,4
STR,Williams,20.0,14.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.266000,0 days 00:01:37.459816326,3
SIR,Williams,18.0,15.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.563000,0 days 00:01:37.472854166,3
PER,Force India,12.0,16.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:35.075000,0 days 00:01:37.159020,3
HAR,Toro Rosso,11.0,17.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.689000,0 days 00:01:36.961200,3
RAI,Ferrari,2.0,18.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:34.337000,0 days 00:01:35.773800,2
VER,Red Bull Racing,15.0,19.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:43.654000,0 days 00:01:43.654000,2
RIC,Red Bull Racing,4.0,20.0,Bahrain Grand Prix,Bahrain,2018,0 days 00:01:38.684000,0 days 00:01:38.684000,0
