Driver,Team,Grid,Finishpos,FastestLap,AverageTime,pitstops
VET,Ferrari,3.0,1.0,0 days 00:01:26.469000,0 days 00:01:28.057843137,2
HAM,Mercedes,1.0,2.0,0 days 00:01:26.444000,0 days 00:01:27.969326530,2
RAI,Ferrari,2.0,3.0,0 days 00:01:26.373000,0 days 00:01:28.057142857,2
RIC,Red Bull Racing,8.0,4.0,0 days 00:01:25.945000,0 days 00:01:28.619568627,2
ALO,McLaren,10.0,5.0,0 days 00:01:26.978000,0 days 00:01:29.144549019,2
VER,Red Bull Racing,4.0,6.0,0 days 00:01:26.880000,0 days 00:01:28.937702127,2
HUL,Renault,7.0,7.0,0 days 00:01:27.081000,0 days 00:01:29.196285714,2
BOT,Mercedes,15.0,8.0,0 days 00:01:27.019000,0 days 00:01:29.387204081,2
VAN,McLaren,11.0,9.0,0 days 00:01:26.958000,0 days 00:01:29.428200,2
SAI,Renault,9.0,10.0,0 days 00:01:27.944000,0 days 00:01:29.464666666,2
PER,Force India,12.0,11.0,0 days 00:01:27.633000,0 days 00:01:29.687673469,2
OCO,Force India,14.0,12.0,0 days 00:01:27.600000,0 days 00:01:29.945382978,2
LEC,Sauber,18.0,13.0,0 days 00:01:28.759000,0 days 00:01:30.499448979,3
STR,Williams,13.0,14.0,0 days 00:01:28.511000,0 days 00:01:30.607780,3
HAR,Toro Rosso,16.0,15.0,0 days 00:01:28.176000,0 days 00:01:30.492291666,2
GRO,Haas F1 Team,6.0,16.0,0 days 00:01:28.805000,0 days 00:01:30.244954545,1
MAG,Haas F1 Team,5.0,17.0,0 days 00:01:29.534000,0 days 00:01:30.348500,1
GAS,Toro Rosso,20.0,18.0,0 days 00:01:30.649000,0 days 00:01:31.655545454,1
ERI,Sauber,17.0,19.0,0 days 00:01:32.210000,0 days 00:01:32.605500,1
SIR,Williams,19.0,20.0,0 days 00:01:32.573000,0 days 00:01:33.217666666,1
VET,Ferrari,1.0,1.0,0 days 00:01:34.453000,0 days 00:01:35.543849056,2
BOT,Mercedes,3.0,2.0,0 days 00:01:33.740000,0 days 00:01:35.429423076,2
HAM,Mercedes,9.0,3.0,0 days 00:01:33.953000,0 days 00:01:35.357196078,2
GAS,Toro Rosso,5.0,4.0,0 days 00:01:34.863000,0 days 00:01:36.130509803,3
MAG,Haas F1 Team,6.0,5.0,0 days 00:01:34.327000,0 days 00:01:36.306176470,3
HUL,Renault,7.0,6.0,0 days 00:01:34.667000,0 days 00:01:36.482080,3
ALO,McLaren,13.0,7.0,0 days 00:01:34.168000,0 days 00:01:36.465816326,3
VAN,McLaren,14.0,8.0,0 days 00:01:35.131000,0 days 00:01:36.810080,3
ERI,Sauber,17.0,9.0,0 days 00:01:35.093000,0 days 00:01:37.196900,2
OCO,Force India,8.0,10.0,0 days 00:01:35.043000,0 days 00:01:37.150140,3
SAI,Renault,10.0,11.0,0 days 00:01:35.535000,0 days 00:01:37.185580,3
LEC,Sauber,19.0,12.0,0 days 00:01:35.058000,0 days 00:01:37.209000,3
GRO,Haas F1 Team,16.0,13.0,0 days 00:01:34.053000,0 days 00:01:36.712319148,4
STR,Williams,20.0,14.0,0 days 00:01:35.266000,0 days 00:01:37.459816326,3
SIR,Williams,18.0,15.0,0 days 00:01:34.563000,0 days 00:01:37.472854166,3
PER,Force India,12.0,16.0,0 days 00:01:35.075000,0 days 00:01:37.159020,3
HAR,Toro Rosso,11.0,17.0,0 days 00:01:34.689000,0 days 00:01:36.961200,3
RAI,Ferrari,2.0,18.0,0 days 00:01:34.337000,0 days 00:01:35.773800,2
VER,Red Bull Racing,15.0,19.0,0 days 00:01:43.654000,0 days 00:01:43.654000,2
RIC,Red Bull Racing,4.0,20.0,0 days 00:01:38.684000,0 days 00:01:38.684000,0
RIC,Red Bull Racing,6.0,1.0,0 days 00:01:35.785000,0 days 00:01:37.964687500,2
BOT,Mercedes,3.0,2.0,0 days 00:01:36.987000,0 days 00:01:38.336235294,2
RAI,Ferrari,2.0,3.0,0 days 00:01:36.456000,0 days 00:01:38.413791666,2
HAM,Mercedes,4.0,4.0,0 days 00:01:36.878000,0 days 00:01:38.449061224,2
VER,Red Bull Racing,5.0,5.0,0 days 00:01:36.206000,0 days 00:01:38.126854166,3
HUL,Renault,7.0,6.0,0 days 00:01:36.881000,0 days 00:01:39.020437500,3
ALO,McLaren,13.0,7.0,0 days 00:01:37.234000,0 days 00:01:39.566562500,2
VET,Ferrari,1.0,8.0,0 days 00:01:37.479000,0 days 00:01:38.710740,2
SAI,Renault,9.0,9.0,0 days 00:01:37.754000,0 days 00:01:39.430875,3
MAG,Haas F1 Team,11.0,10.0,0 days 00:01:38.152000,0 days 00:01:39.682653061,2
OCO,Force India,12.0,11.0,0 days 00:01:37.985000,0 days 00:01:39.690687500,3
PER,Force India,8.0,12.0,0 days 00:01:37.673000,0 days 00:01:39.741666666,3
VAN,McLaren,14.0,13.0,0 days 00:01:38.137000,0 days 00:01:40.029020833,2
STR,Williams,18.0,14.0,0 days 00:01:38.500000,0 days 00:01:40.243645833,2
SIR,Williams,16.0,15.0,0 days 00:01:38.624000,0 days 00:01:40.608938775,3
ERI,Sauber,20.0,16.0,0 days 00:01:38.386000,0 days 00:01:40.634040,2
GRO,Haas F1 Team,10.0,17.0,0 days 00:01:37.410000,0 days 00:01:39.740478260,2
GAS,Toro Rosso,17.0,18.0,0 days 00:01:38.367000,0 days 00:01:40.375820,3
LEC,Sauber,19.0,19.0,0 days 00:01:38.808000,0 days 00:01:40.770208333,2
HAR,Toro Rosso,15.0,20.0,0 days 00:01:39.376000,0 days 00:01:40.798837209,2
HAM,Mercedes,2.0,1.0,0 days 00:01:45.412000,0 days 00:01:46.797057142,3
RAI,Ferrari,6.0,2.0,0 days 00:01:46.523000,0 days 00:01:48.191648648,2
PER,Force India,8.0,3.0,0 days 00:01:46.206000,0 days 00:01:48.435162162,3
VET,Ferrari,1.0,4.0,0 days 00:01:45.530000,0 days 00:01:47.219783783,3
SAI,Renault,9.0,5.0,0 days 00:01:46.856000,0 days 00:01:48.327914285,3
LEC,Sauber,13.0,6.0,0 days 00:01:47.403000,0 days 00:01:48.722305555,3
ALO,McLaren,12.0,7.0,0 days 00:01:47.449000,0 days 00:01:49.381297297,2
STR,Williams,10.0,8.0,0 days 00:01:46.815000,0 days 00:01:48.876194444,3
VAN,McLaren,16.0,9.0,0 days 00:01:47.666000,0 days 00:01:50.440852941,5
HAR,Toro Rosso,19.0,10.0,0 days 00:01:48.288000,0 days 00:01:50.677611111,3
ERI,Sauber,18.0,11.0,0 days 00:01:47.925000,0 days 00:01:50.575451612,4
GAS,Toro Rosso,17.0,12.0,0 days 00:01:48.035000,0 days 00:01:50.669600,3
MAG,Haas F1 Team,15.0,13.0,0 days 00:01:48.155000,0 days 00:01:50.612861111,2
BOT,Mercedes,3.0,14.0,0 days 00:01:45.149000,0 days 00:01:46.891558823,2
GRO,Haas F1 Team,20.0,15.0,0 days 00:01:46.880000,0 days 00:01:48.669606060,3
VER,Red Bull Racing,5.0,16.0,0 days 00:01:45.771000,0 days 00:01:47.793562500,2
RIC,Red Bull Racing,4.0,17.0,0 days 00:01:45.419000,0 days 00:01:47.729062500,2
HUL,Renault,14.0,18.0,0 days 00:01:48.867000,0 days 00:01:50.290750,1
OCO,Force India,7.0,19.0,,,0
SIR,Williams,11.0,20.0,,,0
HAM,Mercedes,1.0,1.0,0 days 00:01:19.133000,0 days 00:01:20.856298245,2
BOT,Mercedes,2.0,2.0,0 days 00:01:19.478000,0 days 00:01:21.109561403,2
VER,Red Bull Racing,5.0,3.0,0 days 00:01:19.422000,0 days 00:01:21.126160714,2
VET,Ferrari,3.0,4.0,0 days 00:01:19.128000,0 days 00:01:20.953214285,3
RIC,Red Bull Racing,6.0,5.0,0 days 00:01:18.441000,0 days 00:01:21.284200,2
MAG,Haas F1 Team,7.0,6.0,0 days 00:01:20.246000,0 days 00:01:22.279471698,2
SAI,Renault,9.0,7.0,0 days 00:01:21.324000,0 days 00:01:22.971462962,2
ALO,McLaren,8.0,8.0,0 days 00:01:20.727000,0 days 00:01:23.027666666,2
PER,Force India,15.0,9.0,0 days 00:01:21.128000,0 days 00:01:23.097538461,3
LEC,Sauber,14.0,10.0,0 days 00:01:22.122000,0 days 00:01:23.639537037,2
STR,Williams,18.0,11.0,0 days 00:01:22.095000,0 days 00:01:23.604000,2
HAR,Toro Rosso,20.0,12.0,0 days 00:01:21.439000,0 days 00:01:23.622132075,3
ERI,Sauber,17.0,13.0,0 days 00:01:22.487000,0 days 00:01:23.871333333,2
SIR,Williams,19.0,14.0,0 days 00:01:22.680000,0 days 00:01:24.373490196,4
VAN,McLaren,11.0,15.0,0 days 00:01:22.594000,0 days 00:01:24.352666666,2
OCO,Force India,13.0,16.0,0 days 00:01:22.117000,0 days 00:01:23.945733333,2
RAI,Ferrari,4.0,17.0,0 days 00:01:21.531000,0 days 00:01:22.630722222,1
GRO,Haas F1 Team,10.0,18.0,,,0
GAS,Toro Rosso,12.0,19.0,,,0
HUL,Renault,16.0,20.0,,,0
RIC,Red Bull Racing,1.0,1.0,0 days 00:01:15.562000,0 days 00:01:18.429917808,2
VET,Ferrari,2.0,2.0,0 days 00:01:16.065000,0 days 00:01:18.485594594,2
HAM,Mercedes,3.0,3.0,0 days 00:01:16.270000,0 days 00:01:18.593726027,2
RAI,Ferrari,4.0,4.0,0 days 00:01:16.392000,0 days 00:01:18.640864864,2
BOT,Mercedes,5.0,5.0,0 days 00:01:16.312000,0 days 00:01:18.632175675,2
OCO,Force India,6.0,6.0,0 days 00:01:17.027000,0 days 00:01:18.634567567,2
GAS,Toro Rosso,10.0,7.0,0 days 00:01:17.099000,0 days 00:01:18.636270270,2
HUL,Renault,11.0,8.0,0 days 00:01:16.061000,0 days 00:01:18.626229729,2
VER,Red Bull Racing,20.0,9.0,0 days 00:01:14.260000,0 days 00:01:18.057385964,2
SAI,Renault,8.0,10.0,0 days 00:01:17.491000,0 days 00:01:19.236783783,2
ERI,Sauber,16.0,11.0,0 days 00:01:16.936000,0 days 00:01:19.170675675,2
PER,Force India,9.0,12.0,0 days 00:01:17.546000,0 days 00:01:19.200081081,2
MAG,Haas F1 Team,19.0,13.0,0 days 00:01:17.476000,0 days 00:01:19.220229729,2
VAN,McLaren,12.0,14.0,0 days 00:01:16.864000,0 days 00:01:19.126767123,3
GRO,Haas F1 Team,18.0,15.0,0 days 00:01:14.822000,0 days 00:01:18.770903846,3
SIR,Williams,13.0,16.0,0 days 00:01:15.325000,0 days 00:01:18.972483333,4
STR,Williams,17.0,17.0,0 days 00:01:14.944000,0 days 00:01:18.393109090,4
LEC,Sauber,14.0,18.0,0 days 00:01:17.710000,0 days 00:01:19.189985294,2
HAR,Toro Rosso,15.0,19.0,0 days 00:01:17.172000,0 days 00:01:19.171544117,2
ALO,McLaren,7.0,20.0,0 days 00:01:17.018000,0 days 00:01:19.174980,2
VET,Ferrari,1.0,1.0,0 days 00:01:13.964000,0 days 00:01:15.187076923,2
BOT,Mercedes,2.0,2.0,0 days 00:01:13.992000,0 days 00:01:15.260861538,2
VER,Red Bull Racing,3.0,3.0,0 days 00:01:13.864000,0 days 00:01:15.255230769,2
RIC,Red Bull Racing,6.0,4.0,0 days 00:01:13.835000,0 days 00:01:15.436323076,2
HAM,Mercedes,4.0,5.0,0 days 00:01:14.183000,0 days 00:01:15.484076923,2
RAI,Ferrari,5.0,6.0,0 days 00:01:14.075000,0 days 00:01:15.562923076,2
HUL,Renault,7.0,7.0,0 days 00:01:15.488000,0 days 00:01:16.676484375,2
SAI,Renault,9.0,8.0,0 days 00:01:15.666000,0 days 00:01:16.722703125,2
OCO,Force India,8.0,9.0,0 days 00:01:15.498000,0 days 00:01:16.743484375,2
LEC,Sauber,13.0,10.0,0 days 00:01:15.351000,0 days 00:01:16.894968750,2
GAS,Toro Rosso,16.0,11.0,0 days 00:01:15.699000,0 days 00:01:16.876111111,2
GRO,Haas F1 Team,20.0,12.0,0 days 00:01:15.470000,0 days 00:01:16.826349206,2
MAG,Haas F1 Team,11.0,13.0,0 days 00:01:15.401000,0 days 00:01:16.959158730,2
PER,Force India,10.0,14.0,0 days 00:01:15.100000,0 days 00:01:16.625290322,3
ERI,Sauber,19.0,15.0,0 days 00:01:16.403000,0 days 00:01:17.788936507,1
VAN,McLaren,15.0,16.0,0 days 00:01:15.765000,0 days 00:01:17.566870967,2
SIR,Williams,18.0,17.0,0 days 00:01:15.924000,0 days 00:01:17.713593220,2
ALO,McLaren,14.0,18.0,0 days 00:01:16.180000,0 days 00:01:17.214800,2
HAR,Toro Rosso,12.0,19.0,,,0
STR,Williams,17.0,20.0,,,0
HAM,Mercedes,1.0,1.0,0 days 00:01:34.509000,0 days 00:01:36.162866666,2
VER,Red Bull Racing,4.0,2.0,0 days 00:01:34.275000,0 days 00:01:36.265000,2
RAI,Ferrari,6.0,3.0,0 days 00:01:34.398000,0 days 00:01:36.654333333,2
RIC,Red Bull Racing,5.0,4.0,0 days 00:01:35.382000,0 days 00:01:36.858888888,2
VET,Ferrari,3.0,5.0,0 days 00:01:34.485000,0 days 00:01:37.071704545,2
MAG,Haas F1 Team,9.0,6.0,0 days 00:01:35.425000,0 days 00:01:37.793600,2
BOT,Mercedes,2.0,7.0,0 days 00:01:34.225000,0 days 00:01:37.363738095,2
SAI,Renault,7.0,8.0,0 days 00:01:35.638000,0 days 00:01:37.954688888,2
HUL,Renault,12.0,9.0,0 days 00:01:35.873000,0 days 00:01:38.048866666,2
LEC,Sauber,8.0,10.0,0 days 00:01:35.977000,0 days 00:01:38.126377777,2
GRO,Haas F1 Team,10.0,11.0,0 days 00:01:35.695000,0 days 00:01:38.324022727,2
VAN,McLaren,17.0,12.0,0 days 00:01:36.675000,0 days 00:01:38.770590909,2
ERI,Sauber,15.0,13.0,0 days 00:01:36.494000,0 days 00:01:39.253431818,2
HAR,Toro Rosso,20.0,14.0,0 days 00:01:36.839000,0 days 00:01:39.238295454,2
SIR,Williams,18.0,15.0,0 days 00:01:38.300000,0 days 00:01:39.865511111,1
ALO,McLaren,16.0,16.0,0 days 00:01:35.133000,0 days 00:01:39.164600,2
STR,Williams,19.0,17.0,0 days 00:01:38.319000,0 days 00:01:39.800790697,1
PER,Force India,13.0,18.0,0 days 00:01:38.319000,0 days 00:01:39.453181818,1
OCO,Force India,11.0,19.0,,,0
GAS,Toro Rosso,14.0,20.0,,,0
VER,Red Bull Racing,4.0,1.0,0 days 00:01:07.442000,0 days 00:01:08.520367647,2
RAI,Ferrari,3.0,2.0,0 days 00:01:06.957000,0 days 00:01:08.526485294,2
VET,Ferrari,6.0,3.0,0 days 00:01:07.082000,0 days 00:01:08.479426470,2
GRO,Haas F1 Team,5.0,4.0,0 days 00:01:09.071000,0 days 00:01:09.778597014,2
MAG,Haas F1 Team,8.0,5.0,0 days 00:01:08.476000,0 days 00:01:09.692121212,2
OCO,Force India,11.0,6.0,0 days 00:01:08.850000,0 days 00:01:09.962611940,2
PER,Force India,16.0,7.0,0 days 00:01:08.504000,0 days 00:01:09.751984615,2
ALO,McLaren,13.0,8.0,0 days 00:01:08.661000,0 days 00:01:10.070575757,2
LEC,Sauber,18.0,9.0,0 days 00:01:09.006000,0 days 00:01:10.055600,2
ERI,Sauber,20.0,10.0,0 days 00:01:08.216000,0 days 00:01:10.017761904,2
GAS,Toro Rosso,12.0,11.0,0 days 00:01:09.295000,0 days 00:01:10.291666666,2
SAI,Renault,9.0,12.0,0 days 00:01:08.766000,0 days 00:01:10.027276923,3
SIR,Williams,17.0,13.0,0 days 00:01:08.971000,0 days 00:01:10.415065573,3
STR,Williams,14.0,14.0,0 days 00:01:09.203000,0 days 00:01:10.634507692,3
VAN,McLaren,15.0,15.0,0 days 00:01:08.894000,0 days 00:01:10.472428571,2
HAM,Mercedes,2.0,16.0,0 days 00:01:07.241000,0 days 00:01:08.713410714,3
HAR,Toro Rosso,19.0,17.0,0 days 00:01:09.171000,0 days 00:01:10.563740,1
RIC,Red Bull Racing,7.0,18.0,0 days 00:01:07.591000,0 days 00:01:08.862125,3
BOT,Mercedes,1.0,19.0,0 days 00:01:09.044000,0 days 00:01:09.786000,1
HUL,Renault,10.0,20.0,0 days 00:01:10.380000,0 days 00:01:11.200200,1
VET,Ferrari,2.0,1.0,0 days 00:01:30.696000,0 days 00:01:32.968325581,3
HAM,Mercedes,1.0,2.0,0 days 00:01:31.245000,0 days 00:01:33.163404761,2
RAI,Ferrari,3.0,3.0,0 days 00:01:30.795000,0 days 00:01:33.087904761,3
BOT,Mercedes,4.0,4.0,0 days 00:01:31.377000,0 days 00:01:33.250930232,2
RIC,Red Bull Racing,6.0,5.0,0 days 00:01:31.589000,0 days 00:01:33.383951219,3
HUL,Renault,11.0,6.0,0 days 00:01:33.405000,0 days 00:01:34.989550,2
OCO,Force India,10.0,7.0,0 days 00:01:33.606000,0 days 00:01:35.042500,2
ALO,McLaren,13.0,8.0,0 days 00:01:33.482000,0 days 00:01:35.027850,3
MAG,Haas F1 Team,7.0,9.0,0 days 00:01:33.604000,0 days 00:01:35.211731707,2
PER,Force India,12.0,10.0,0 days 00:01:33.472000,0 days 00:01:34.979400,3
VAN,McLaren,17.0,11.0,0 days 00:01:33.551000,0 days 00:01:35.477146341,3
STR,Williams,19.0,12.0,0 days 00:01:33.869000,0 days 00:01:36.312761904,2
GAS,Toro Rosso,14.0,13.0,0 days 00:01:33.465000,0 days 00:01:35.168700,3
SIR,Williams,18.0,14.0,0 days 00:01:34.620000,0 days 00:01:36.548452380,2
VER,Red Bull Racing,5.0,15.0,0 days 00:01:32.007000,0 days 00:01:33.616200,3
GRO,Haas F1 Team,8.0,16.0,0 days 00:01:34.391000,0 days 00:01:35.613793103,2
SAI,Renault,16.0,17.0,0 days 00:01:34.602000,0 days 00:01:35.486379310,3
ERI,Sauber,15.0,18.0,0 days 00:01:33.675000,0 days 00:01:35.659103448,2
LEC,Sauber,9.0,19.0,0 days 00:01:35.209000,0 days 00:01:35.543235294,1
HAR,Toro Rosso,0.0,20.0,0 days 00:02:54.472000,0 days 00:02:54.472000,0
HAM,Mercedes,14.0,1.0,0 days 00:01:15.545000,0 days 00:01:18.018127272,2
BOT,Mercedes,2.0,2.0,0 days 00:01:15.721000,0 days 00:01:18.027400,3
RAI,Ferrari,3.0,3.0,0 days 00:01:15.990000,0 days 00:01:18.060763636,3
VER,Red Bull Racing,4.0,4.0,0 days 00:01:15.852000,0 days 00:01:18.043826923,4
HUL,Renault,7.0,5.0,0 days 00:01:17.910000,0 days 00:01:19.607000,4
GRO,Haas F1 Team,6.0,6.0,0 days 00:01:16.716000,0 days 00:01:19.572446428,4
PER,Force India,10.0,7.0,0 days 00:01:17.867000,0 days 00:01:19.656482142,2
OCO,Force India,15.0,8.0,0 days 00:01:17.941000,0 days 00:01:19.965240740,2
ERI,Sauber,13.0,9.0,0 days 00:01:17.745000,0 days 00:01:20.100854545,2
HAR,Toro Rosso,17.0,10.0,0 days 00:01:17.681000,0 days 00:01:20.233055555,3
MAG,Haas F1 Team,5.0,11.0,0 days 00:01:17.697000,0 days 00:01:19.500090909,4
SAI,Renault,8.0,12.0,0 days 00:01:17.430000,0 days 00:01:19.822054545,4
VAN,McLaren,19.0,13.0,0 days 00:01:17.537000,0 days 00:01:20.235679245,3
GAS,Toro Rosso,16.0,14.0,0 days 00:01:17.762000,0 days 00:01:20.375448979,3
LEC,Sauber,9.0,15.0,0 days 00:01:17.852000,0 days 00:01:19.705375,4
ALO,McLaren,11.0,16.0,0 days 00:01:17.741000,0 days 00:01:20.269306122,4
STR,Williams,18.0,17.0,0 days 00:01:18.861000,0 days 00:01:20.652822222,3
VET,Ferrari,1.0,18.0,0 days 00:01:17.290000,0 days 00:01:18.428914893,2
SIR,Williams,12.0,19.0,0 days 00:01:18.934000,0 days 00:01:20.739500,2
RIC,Red Bull Racing,20.0,20.0,0 days 00:01:18.262000,0 days 00:01:19.769384615,1
HAM,Mercedes,1.0,1.0,0 days 00:01:21.107000,0 days 00:01:22.539953846,2
VET,Ferrari,4.0,2.0,0 days 00:01:20.056000,0 days 00:01:22.697171875,2
RAI,Ferrari,3.0,3.0,0 days 00:01:20.292000,0 days 00:01:22.425238095,3
RIC,Red Bull Racing,12.0,4.0,0 days 00:01:20.012000,0 days 00:01:22.604500,2
BOT,Mercedes,2.0,5.0,0 days 00:01:21.736000,0 days 00:01:23.173031746,2
GAS,Toro Rosso,6.0,6.0,0 days 00:01:21.685000,0 days 00:01:23.462215384,2
MAG,Haas F1 Team,9.0,7.0,0 days 00:01:21.302000,0 days 00:01:23.658015873,2
ALO,McLaren,11.0,8.0,0 days 00:01:22.090000,0 days 00:01:24.154253968,2
SAI,Renault,5.0,9.0,0 days 00:01:22.774000,0 days 00:01:24.487593750,2
GRO,Haas F1 Team,10.0,10.0,0 days 00:01:22.606000,0 days 00:01:24.363936507,2
HAR,Toro Rosso,8.0,11.0,0 days 00:01:22.612000,0 days 00:01:24.494890625,2
HUL,Renault,13.0,12.0,0 days 00:01:21.261000,0 days 00:01:24.268661290,3
OCO,Force India,18.0,13.0,0 days 00:01:22.876000,0 days 00:01:24.552562500,2
PER,Force India,19.0,14.0,0 days 00:01:23.263000,0 days 00:01:24.701296875,2
ERI,Sauber,14.0,15.0,0 days 00:01:23.671000,0 days 00:01:25.441825396,2
SIR,Williams,20.0,16.0,0 days 00:01:23.708000,0 days 00:01:25.644047619,2
STR,Williams,15.0,17.0,0 days 00:01:22.660000,0 days 00:01:25.589645161,2
VAN,McLaren,16.0,18.0,0 days 00:01:23.077000,0 days 00:01:24.587022222,2
VER,Red Bull Racing,7.0,19.0,0 days 00:01:23.985000,0 days 00:01:24.312500,1
LEC,Sauber,17.0,20.0,,,0
VET,Ferrari,2.0,1.0,0 days 00:01:46.644000,0 days 00:01:48.014538461,2
HAM,Mercedes,1.0,2.0,0 days 00:01:46.721000,0 days 00:01:48.277820512,2
VER,Red Bull Racing,7.0,3.0,0 days 00:01:46.946000,0 days 00:01:48.739435897,3
BOT,Mercedes,19.0,4.0,0 days 00:01:46.286000,0 days 00:01:49.193972972,3
PER,Racing Point,4.0,5.0,0 days 00:01:48.080000,0 days 00:01:49.718358974,2
OCO,Racing Point,3.0,6.0,0 days 00:01:48.078000,0 days 00:01:49.909461538,2
GRO,Haas F1 Team,5.0,7.0,0 days 00:01:48.283000,0 days 00:01:50.068692307,2
MAG,Haas F1 Team,9.0,8.0,0 days 00:01:47.937000,0 days 00:01:50.086025641,2
GAS,Toro Rosso,10.0,9.0,0 days 00:01:48.588000,0 days 00:01:50.547153846,2
ERI,Sauber,13.0,10.0,0 days 00:01:48.694000,0 days 00:01:50.755289473,2
SAI,Renault,14.0,11.0,0 days 00:01:48.670000,0 days 00:01:51.061894736,2
SIR,Williams,16.0,12.0,0 days 00:01:49.113000,0 days 00:01:51.161131578,2
STR,Williams,17.0,13.0,0 days 00:01:49.287000,0 days 00:01:51.184342105,2
HAR,Toro Rosso,11.0,14.0,0 days 00:01:48.756000,0 days 00:01:51.444868421,2
VAN,McLaren,18.0,15.0,0 days 00:01:48.956000,0 days 00:01:51.731657894,3
RIC,Red Bull Racing,8.0,16.0,0 days 00:01:49.242000,0 days 00:01:51.023500,1
RAI,Ferrari,6.0,17.0,0 days 00:01:54.320000,0 days 00:01:54.848000,2
LEC,Sauber,12.0,18.0,,,0
ALO,McLaren,15.0,19.0,,,0
HUL,Renault,20.0,20.0,,,0
HAM,Mercedes,3.0,1.0,0 days 00:01:22.497000,0 days 00:01:24.439408163,2
RAI,Ferrari,1.0,2.0,0 days 00:01:23.515000,0 days 00:01:24.628448979,2
BOT,Mercedes,4.0,3.0,0 days 00:01:22.907000,0 days 00:01:24.612145833,2
VET,Ferrari,2.0,4.0,0 days 00:01:22.505000,0 days 00:01:24.364437500,2
VER,Red Bull Racing,5.0,5.0,0 days 00:01:23.609000,0 days 00:01:24.570145833,2
OCO,Racing Point,8.0,6.0,0 days 00:01:24.179000,0 days 00:01:25.517285714,2
PER,Racing Point,14.0,7.0,0 days 00:01:23.529000,0 days 00:01:25.351750,2
SAI,Renault,7.0,8.0,0 days 00:01:24.056000,0 days 00:01:25.821333333,2
STR,Williams,10.0,9.0,0 days 00:01:24.580000,0 days 00:01:26.065604166,2
SIR,Williams,12.0,10.0,0 days 00:01:23.768000,0 days 00:01:26.094191489,2
LEC,Sauber,15.0,11.0,0 days 00:01:24.504000,0 days 00:01:26.111085106,2
VAN,McLaren,17.0,12.0,0 days 00:01:24.772000,0 days 00:01:26.300723404,2
HUL,Renault,20.0,13.0,0 days 00:01:24.059000,0 days 00:01:26.326042553,2
GAS,Toro Rosso,9.0,14.0,0 days 00:01:24.767000,0 days 00:01:26.506479166,2
ERI,Sauber,18.0,15.0,0 days 00:01:23.768000,0 days 00:01:26.313553191,2
MAG,Haas F1 Team,11.0,16.0,0 days 00:01:25.692000,0 days 00:01:27.214574468,2
RIC,Red Bull Racing,19.0,17.0,0 days 00:01:25.229000,0 days 00:01:26.176400,1
ALO,McLaren,13.0,18.0,0 days 00:01:27.009000,0 days 00:01:27.749200,1
HAR,Toro Rosso,16.0,19.0,,,0
GRO,Haas F1 Team,6.0,20.0,0 days 00:01:24.243000,0 days 00:01:25.377562500,2
HAM,Mercedes,1.0,1.0,0 days 00:01:42.913000,0 days 00:01:45.427290909,2
VER,Red Bull Racing,2.0,2.0,0 days 00:01:43.345000,0 days 00:01:45.570000,2
VET,Ferrari,3.0,3.0,0 days 00:01:44.669000,0 days 00:01:46.185818181,2
BOT,Mercedes,4.0,4.0,0 days 00:01:44.720000,0 days 00:01:46.330472727,2
RAI,Ferrari,5.0,5.0,0 days 00:01:44.715000,0 days 00:01:46.320527272,2
RIC,Red Bull Racing,6.0,6.0,0 days 00:01:43.120000,0 days 00:01:46.263400,2
ALO,McLaren,11.0,7.0,0 days 00:01:43.164000,0 days 00:01:46.955056603,2
SAI,Renault,12.0,8.0,0 days 00:01:45.211000,0 days 00:01:47.569444444,2
LEC,Sauber,13.0,9.0,0 days 00:01:45.203000,0 days 00:01:47.832500,2
HUL,Renault,10.0,10.0,0 days 00:01:46.093000,0 days 00:01:48.029185185,2
ERI,Sauber,14.0,11.0,0 days 00:01:45.169000,0 days 00:01:48.185811320,2
VAN,McLaren,18.0,12.0,0 days 00:01:45.555000,0 days 00:01:48.245203703,2
GAS,Toro Rosso,15.0,13.0,0 days 00:01:46.063000,0 days 00:01:48.290283018,2
STR,Williams,20.0,14.0,0 days 00:01:46.033000,0 days 00:01:48.444240740,2
GRO,Haas F1 Team,8.0,15.0,0 days 00:01:45.904000,0 days 00:01:48.294490566,2
PER,Racing Point,7.0,16.0,0 days 00:01:45.389000,0 days 00:01:47.779700,4
HAR,Toro Rosso,17.0,17.0,0 days 00:01:44.889000,0 days 00:01:48.286489795,3
MAG,Haas F1 Team,16.0,18.0,0 days 00:01:41.905000,0 days 00:01:46.910538461,3
SIR,Williams,19.0,19.0,0 days 00:01:45.902000,0 days 00:01:49.676574468,3
OCO,Racing Point,9.0,20.0,,,0
HAM,Mercedes,2.0,1.0,0 days 00:01:35.916000,0 days 00:01:38.449078431,2
BOT,Mercedes,1.0,2.0,0 days 00:01:35.861000,0 days 00:01:38.513392156,2
VET,Ferrari,3.0,3.0,0 days 00:01:35.990000,0 days 00:01:38.553960,2
RAI,Ferrari,4.0,4.0,0 days 00:01:36.611000,0 days 00:01:38.693460,2
VER,Red Bull Racing,19.0,5.0,0 days 00:01:36.283000,0 days 00:01:38.967078431,2
RIC,Red Bull Racing,18.0,6.0,0 days 00:01:36.345000,0 days 00:01:39.381000,2
LEC,Sauber,7.0,7.0,0 days 00:01:38.107000,0 days 00:01:40.199960,2
